title,score,url,date,author
Silent Hill: Ascension Mid-Season Review,5.0,/articles/silent-hill-ascension-mid-season-review,2023-12-20T21:34:15.790Z,Vikki Blake
Sonic Dream Team Review,8.0,/articles/sonic-dream-team-review,2023-12-09T01:23:33.317Z,Chris Reed
The Arkham Asylum Files: Panic in Gotham City Board Game Review,8.0,/articles/the-arkham-asylum-files-panic-in-gotham-city-board-game-review,2023-10-31T18:45:40.414Z,Matthew Adler
WrestleQuest Review,6.0,/articles/wrestlequest-review,2023-08-16T15:00:00.000Z,Jarrett Green
Honkai: Star Rail Review,9.0,/articles/honkai-star-rail-review,2023-05-10T13:00:00.000Z,Jess Reyes
Mighty Doom Review,5.0,/articles/mighty-doom-review,2023-04-11T16:50:03.032Z,Chris Reed
Marvel Snap Review,8.0,/articles/marvel-snap-review,2022-11-04T06:12:34.503Z,Cam Shea
Immortality Review,8.0,/articles/immortality-review,2022-08-30T08:00:00.000Z,Tristan Ogilvie
Gwent: Rogue Mage Review,8.0,/articles/gwent-rogue-mage-review,2022-07-07T18:28:16.083Z,Leana Hafer
Diablo Immortal Review,6.0,/articles/diablo-immortal-review,2022-06-01T12:00:09.406Z,Cam Shea
Apex Legends Mobile Review,8.0,/articles/apex-legends-mobile-review,2022-05-26T19:00:50.000Z,Stella Chung
eFootball 2022 Update 1.0 Review,4.0,/articles/efootball-2022-review,2022-04-27T14:47:00.000Z,Simon Cardy
Grand Theft Auto: The Trilogy - The Definitive Edition Review,5.0,/articles/grand-theft-auto-the-trilogy-the-definitive-edition-review,2021-11-17T08:40:37.894Z,Tristan Ogilvie
The Artful Escape Review,8.0,/articles/the-artful-escape-review,2021-09-08T16:00:00.000Z,Tristan Ogilvie
Pokemon Unite Review,6.0,/articles/pokemon-unite-review,2021-07-30T21:35:23.042Z,Sam Stewart
iPhone 12 Pro Max Review,7.0,/articles/iphone-12-pro-max-review,2021-02-08T15:00:47.000Z,Mark Knapp
The Last Campfire Review,9.0,/articles/the-last-campfire-review,2021-01-29T10:57:41.000Z,Simon Cardy
iPhone 12 Review,7.0,/articles/iphone-12-review,2020-11-11T19:00:37.000Z,Mark Knapp
iPhone 12 Pro Review,8.0,/articles/iphone-12-pro-review,2020-11-10T15:00:04.000Z,Kevin Lee
Genshin Impact Review,9.0,/articles/genshin-impact-review,2020-10-13T22:55:03.000Z,Travis Northup
Little Orpheus Review,8.0,/articles/little-orpheus-review,2020-06-16T18:30:04.000Z,Leif Johnson
Legends of Runeterra Review,9.0,/articles/legends-of-runeterra-review,2020-05-14T02:50:22.000Z,Cam Shea
Call of Duty: Mobile Review,7.7,/articles/2019/10/09/call-of-duty-mobile-review,2019-10-09T00:40:45.000Z,Kyle Hilliard
Mario Kart Tour Review,6.7,/articles/2019/10/01/mario-kart-tour-review,2019-10-01T20:07:35.000Z,Kyle Hilliard
Sky: Children of the Light Review,8.5,/articles/2019/07/20/sky-children-of-the-light-review,2019-07-20T00:24:01.000Z,David Jagneaux
Harry Potter: Wizards Unite Review,6.7,/articles/2019/06/29/harry-potter-wizards-unite-review-2,2019-06-29T00:18:28.000Z,Jonathon Dornbush
The Elder Scrolls: Blades Early Access Review,5.4,/articles/2019/04/23/the-elder-scrolls-blades-early-access-review,2019-04-23T20:10:00.000Z,David Jagneaux
The Walking Dead: The Final Season Episode 1 Review,6.5,/articles/2018/08/13/the-walking-dead-the-final-season-episode-one-review,2018-08-13T15:00:29.000Z,Cassidee Moser
Pokemon Quest Review,6.0,/articles/2018/07/06/pokemon-quest-review,2018-07-06T02:11:19.000Z,Casey DeFreitas
Fortnite Battle Royale Review,9.6,/articles/2018/03/27/fortnite-battle-royale-review,2018-03-27T19:27:00.000Z,Austen Golsin
PUBG Mobile Review,8.7,/articles/2018/03/24/pubg-mobile-review,2018-03-24T00:27:34.000Z,David Jagneaux
Gorogoa Review,8.5,/articles/2018/01/31/gorogoa-review,2018-01-31T00:35:29.000Z,Chloi Rad
