title,score,url,date,author
Fortnite Rocket Racing Review,6.0,/articles/fortnite-rocket-racing-review,2023-12-21T02:01:14.471Z,Gabriel Moss
"Warhammer 40,000: Rogue Trader Review",8.0,/articles/warhammer-40000-rogue-trader-review,2023-12-15T23:53:00.000Z,Leana Hafer
Resident Evil 4 Remake VR Review,8.0,/articles/resident-evil-4-remake-vr-review,2023-12-15T23:43:41.387Z,Travis Northup
Fortnite Festival Review,4.0,/articles/fortnite-festival-review,2023-12-15T00:34:33.184Z,Luke Reilly
Lego Fortnite Review,7.0,/articles/lego-fortnite-review,2023-12-13T00:33:35.100Z,Phil Hornshaw
Sonic Dream Team Review,8.0,/articles/sonic-dream-team-review,2023-12-09T01:23:33.317Z,Chris Reed
The Last Faith Review,7.0,/articles/the-last-faith-review,2023-11-15T18:00:00.000Z,Jarrett Green
Star Trek: Infinite Review,5.0,/articles/star-trek-infinite-review,2023-10-12T15:00:00.000Z,Will Borger
Baldur's Gate 3 Review,10.0,/articles/baldurs-gate-3-review,2023-08-18T23:32:25.376Z,Leana Hafer
Layers of Fear Review,6.0,/articles/layers-of-fear-2023-review,2023-06-15T16:00:00.000Z,Tristan Ogilvie
Resident Evil Village VR Review,8.0,/articles/resident-evil-village-vr-review,2023-02-27T23:52:43.696Z,Taylor Lyles
World of Warcraft: Dragonflight Review,7.0,/articles/world-of-warcraft-dragonflight-review,2022-12-15T23:37:21.000Z,Leana Hafer
Dwarf Fortress Review,10.0,/articles/dwarf-fortress-review,2022-12-07T23:02:15.851Z,Jon Bolding
Resident Evil Village: The Winters' Expansion Review,6.0,/articles/resident-evil-village-the-winters-expansion-review,2022-11-03T22:00:09.000Z,Taylor Lyles
Disney Dreamlight Valley Early Access Review,8.0,/articles/disney-dreamlight-valley-review,2022-09-09T22:36:46.345Z,Travis Northup
Tunic Review,9.0,/articles/tunic-review-xbox-pc-steam,2022-03-16T17:00:08.000Z,Ryan McCaffrey
Final Fantasy XIV: Endwalker Review,9.0,/articles/final-fantasy-xiv-endwalker-review-ffxiv,2021-12-21T20:47:11.962Z,Leif Johnson
