title,score,url,date,author
Sin & Punishment Review,9.0,/articles/2007/10/02/sin-punishment-review,2007-10-02T23:05:00.000Z,Lucas M. Thomas
Animal Forest (Animal Crossing N64) Import Review,8.6,/articles/2002/02/26/animal-forest-import-review,2002-02-26T08:00:00.000Z,Peer Schneider
Tony Hawk's Pro Skater 2,8.6,/articles/2001/11/12/tony-hawks-pro-skater-2,2001-11-12T00:30:00.000Z,Fran Mirabella
Mario Party 3,6.4,/articles/2001/05/30/mario-party-3,2001-05-30T23:30:00.000Z,Fran Mirabella III
Super Bowling,6.7,/articles/2001/04/18/super-bowling-2,2001-04-18T23:30:00.000Z,Fran Mirabella III
Dr. Mario 64,5.0,/articles/2001/04/17/dr-mario-64,2001-04-17T23:30:00.000Z,Fran Mirabella III
Aidyn Chronicles: The First Mage,4.2,/articles/2001/04/17/aidyn-chronicles-the-first-mage,2001-04-17T23:30:00.000Z,Jon Griffith
Pokemon Stadium 2 Review,7.5,/articles/2001/03/27/pokemon-stadium-2,2001-03-27T00:30:00.000Z,Chris Carle
Conker's Bad Fur Day,9.9,/articles/2001/03/03/conkers-bad-fur-day,2001-03-03T00:30:00.000Z,Matt Casamassina
Paper Mario Review,9.0,/articles/2001/02/06/paper-mario,2001-02-06T00:30:00.000Z,Matt Casamassina
Mega Man 64,4.5,/articles/2001/01/30/mega-man-64-2,2001-01-30T00:30:00.000Z,Matt Casamassina
Polaris SnoCross,4.3,/articles/2001/01/26/polaris-snocross-3,2001-01-26T00:30:00.000Z,Fran Mirabella III
Star Wars: Episode I Battle for Naboo,9.0,/articles/2000/12/16/star-wars-episode-i-battle-for-naboo,2000-12-16T00:30:00.000Z,Fran Mirabella III
Donald Duck: Goin' Quackers,6.4,/articles/2000/12/15/donald-duck-goin-quackers-3,2000-12-15T00:30:00.000Z,Cory D. Lewis
Batman Beyond: Return of the Joker,2.0,/articles/2000/12/14/batman-beyond-return-of-the-joker-2,2000-12-14T00:30:00.000Z,Matt Casamassina
WCW Backstage Assault,4.0,/articles/2000/12/13/wcw-backstage-assault,2000-12-13T00:30:00.000Z,Cory D. Lewis
Midway's Greatest Arcade Hits Volume I,6.0,/articles/2000/12/01/midways-greatest-arcade-hits-volume-i,2000-12-01T01:00:00.000Z,Matt Casamassina
Ready 2 Rumble Boxing: Round 2,7.0,/articles/2000/11/29/ready-2-rumble-boxing-round-2,2000-11-29T01:00:00.000Z,Cory D. Lewis
Sin and Punishment: Successor to the Earth (Import),9.0,/articles/2000/11/28/sin-and-punishment-successor-to-the-earth-import,2000-11-28T01:00:00.000Z,Fran Mirabella III
Mia Hamm Soccer 64,4.8,/articles/2000/11/23/mia-hamm-soccer-64,2000-11-23T01:00:00.000Z,Cory D. Lewis
Daikatana,4.0,/articles/2000/11/22/daikatana,2000-11-22T01:00:00.000Z,Matt Casamassina
Spider-Man,8.5,/articles/2000/11/22/spider-man-14,2000-11-22T01:00:00.000Z,Cory D. Lewis
Rugrats in Paris,6.0,/articles/2000/11/21/rugrats-in-paris,2000-11-21T01:00:00.000Z,Cory D. Lewis
Banjo-Tooie Review,9.4,/articles/2000/11/21/banjo-tooie,2000-11-21T01:00:00.000Z,Fran Mirabella III
Tom and Jerry: Fists of Furry,6.8,/articles/2000/11/15/tom-and-jerry-fists-of-furry,2000-11-15T01:00:00.000Z,Cory D. Lewis
Ms. Pac-Man Maze Madness,7.5,/articles/2000/11/14/ms-pac-man-maze-madness-2,2000-11-14T01:00:00.000Z,Fran Mirabella III
WWF No Mercy,9.0,/articles/2000/11/14/wwf-no-mercy,2000-11-14T01:00:00.000Z,Blake Norton
Mickey's Speedway USA,6.8,/articles/2000/11/11/mickeys-speedway-usa,2000-11-11T01:00:00.000Z,Fran Mirabella III
"Hey You, Pikachu!",6.0,/articles/2000/11/07/hey-you-pikachu,2000-11-07T01:00:00.000Z,Fran Mirabella III
Legend of Zelda: Majora's Mask,9.9,/articles/2000/10/26/legend-of-zelda-majoras-mask,2000-10-26T00:00:00.000Z,Fran Mirabella III
Cruis'n Exotica,5.7,/articles/2000/10/21/cruisn-exotica-2,2000-10-21T00:00:00.000Z,Cory D. Lewis
The World is Not Enough N64 Review,8.9,/articles/2000/10/19/the-world-is-not-enough-3,2000-10-19T00:00:00.000Z,Matt Casamassina
Big Mountain 2000,6.0,/articles/2000/10/10/big-mountain-2000,2000-10-10T00:00:00.000Z,Fran Mirabella III
Stunt Racer 64,7.0,/articles/2000/10/05/stunt-racer-64,2000-10-05T00:00:00.000Z,Cory D. Lewis
Power Rangers Lightspeed Rescue,3.0,/articles/2000/10/03/power-rangers-lightspeed-rescue,2000-10-03T00:00:00.000Z,Matt Casamassina
Pokemon Puzzle League,8.9,/articles/2000/09/27/pokemon-puzzle-league,2000-09-27T00:00:00.000Z,Fran Mirabella III
Army Men: Sarge's Heroes 2,5.0,/articles/2000/09/27/army-men-sarges-heroes-2-2,2000-09-27T00:00:00.000Z,Matt Casamassina
NFL Blitz 2001,7.4,/articles/2000/09/21/nfl-blitz-2001-2,2000-09-21T23:30:00.000Z,Cory D. Lewis
Madden NFL 2001,8.0,/articles/2000/09/15/madden-nfl-2001-4,2000-09-15T23:30:00.000Z,Chris Carle
Rat Attack,5.8,/articles/2000/09/14/rat-attack,2000-09-14T00:00:00.000Z,Fran Mirabella III
San Francisco Rush 2049,9.0,/articles/2000/09/07/san-francisco-rush-2049-3,2000-09-07T00:00:00.000Z,Matt Casamassina
Blues Brothers 2000,5.4,/articles/2000/09/06/blues-brothers-2000,2000-09-06T00:00:00.000Z,Cory D. Lewis
NFL Quarterback Club 2001,5.8,/articles/2000/09/06/nfl-quarterback-club-2001,2000-09-06T00:00:00.000Z,Cory D. Lewis
Turok 3: Shadow of Oblivion,7.4,/articles/2000/09/06/turok-3-shadow-of-oblivion,2000-09-06T00:00:00.000Z,Fran Mirabella III
Hercules: The Legendary Journeys,6.9,/articles/2000/08/23/hercules-the-legendary-journeys,2000-08-23T00:00:00.000Z,Fran Mirabella
Mario Tennis 64 Review,9.0,/articles/2000/08/19/mario-tennis-64,2000-08-19T00:00:00.000Z,Matt Casamassina
Carmageddon 64,1.3,/articles/2000/07/29/carmageddon-64,2000-07-29T00:00:00.000Z,Matt Casamassina
Army Men: Air Combat,7.6,/articles/2000/07/20/army-men-air-combat-2,2000-07-20T00:00:00.000Z,Aaron Boulding
Transformers: Beast Wars Transmetals,3.0,/articles/2000/07/12/transformers-beast-wars-transmetals,2000-07-12T00:00:00.000Z,Nix
Duck Dodgers,7.6,/articles/2000/07/07/duck-dodgers,2000-07-07T00:00:00.000Z,Aaron Boulding
Indy Racing 2000,8.0,/articles/2000/06/27/indy-racing-2000,2000-06-27T00:00:00.000Z,Aaron Boulding
Densha De Go! 64 (Import) Review,5.1,/articles/2000/06/24/densha-de-go-64-import,2000-06-24T00:00:00.000Z,Peer Schneider
Kirby 64: The Crystal Shards,7.9,/articles/2000/06/24/kirby-64-the-crystal-shards,2000-06-24T00:00:00.000Z,Aaron Boulding
Rally Challenge 2000,6.0,/articles/2000/06/22/rally-challenge-2000,2000-06-22T00:00:00.000Z,Nix
Fighter Destiny 2,6.3,/articles/2000/06/20/fighter-destiny-2,2000-06-20T00:00:00.000Z,Matt Casamassina
PGA European Tour,4.6,/articles/2000/06/13/pga-european-tour,2000-06-13T00:00:00.000Z,Aaron Boulding
StarCraft 64,7.7,/articles/2000/06/10/starcraft-64,2000-06-10T00:00:00.000Z,Aaron Boulding
Bomberman: The Second Attack,5.3,/articles/2000/06/08/bomberman-the-second-attack,2000-06-08T00:00:00.000Z,Tim Horst
International Track and Field 2000,6.1,/articles/2000/06/02/international-track-and-field-2000,2000-06-02T00:00:00.000Z,Aaron Boulding
Perfect Dark Review,9.8,/articles/2000/05/20/perfect-dark-3,2000-05-20T00:00:00.000Z,Matt Casamassina
Excitebike 64 Review,9.7,/articles/2000/05/02/excitebike-64-review,2000-05-02T00:00:00.000Z,Matt Casamassina
F/A 18 Super Hornet,5.5,/articles/2000/04/15/fa-18-super-hornet,2000-04-15T00:00:00.000Z,IGN Staff
Custom Robo (Import),8.8,/articles/2000/04/05/custom-robo-import,2000-04-05T00:00:00.000Z,Aaron Boulding
Battlezone: Rise of the Black Dogs,3.9,/articles/2000/04/04/battlezone-rise-of-the-black-dogs,2000-04-04T00:00:00.000Z,Turhan Herder
Bassmasters 2000,3.1,/articles/2000/03/31/bassmasters-2000,2000-03-31T01:00:00.000Z,Matt Casamassina
All-Star Baseball 2001,9.1,/articles/2000/03/31/all-star-baseball-2001-2,2000-03-31T01:00:00.000Z,Aaron Boulding
Top Gear Hyperbike,6.1,/articles/2000/03/28/top-gear-hyperbike,2000-03-28T01:00:00.000Z,Aaron Boulding
PD Ultraman Battle Collection 64 (Import) Review,2.0,/articles/2000/03/28/pd-ultraman-battle-collection-64-import,2000-03-28T01:00:00.000Z,Peer Schneider
Worms Armageddon,8.7,/articles/2000/03/25/worms-armageddon-2,2000-03-25T01:00:00.000Z,Aaron Boulding
Virtual Pro Wrestling 2 (Import),7.9,/articles/2000/03/22/virtual-pro-wrestling-2-import,2000-03-22T01:00:00.000Z,Aaron Boulding
CyberTiger Woods Golf,8.4,/articles/2000/03/21/cybertiger-woods-golf,2000-03-21T01:00:00.000Z,Aaron Boulding
Tony Hawk's Pro Skater,9.1,/articles/2000/03/15/tony-hawks-pro-skater-7,2000-03-15T01:00:00.000Z,Matt Casamassina
