title,score,url,date,author
Splatoon 3: Side Order DLC Review,8.0,/articles/splatoon-3-side-order-dlc-review,2024-02-27T19:23:07.716Z,Logan Plant
Mario vs. Donkey Kong Review,7.0,/articles/mario-vs-donkey-kong-review,2024-02-14T13:00:00.000Z,Tristan Ogilvie
Another Code: Recollection Review,7.0,/articles/another-code-recollection-review,2024-01-20T01:57:48.228Z,Logan Plant
Turnip Boy Robs a Bank Review,8.0,/articles/turnip-boy-robs-a-bank-review,2024-01-18T13:00:00.000Z,Carli Velocci
Prince of Persia: The Lost Crown Review,8.0,/articles/prince-of-persia-the-lost-crown-review,2024-01-11T17:00:00.000Z,Phil Hornshaw
Fortnite Rocket Racing Review,6.0,/articles/fortnite-rocket-racing-review,2023-12-21T02:01:14.471Z,Gabriel Moss
Pokemon Scarlet and Violet: The Indigo Disk DLC Review,7.0,/articles/pokemon-scarlet-and-violet-the-indigo-disk-dlc-review,2023-12-20T19:44:24.481Z,Rebekah Valentine
Fortnite Festival Review,4.0,/articles/fortnite-festival-review,2023-12-15T00:34:33.184Z,Luke Reilly
Lego Fortnite Review,7.0,/articles/lego-fortnite-review,2023-12-13T00:33:35.100Z,Phil Hornshaw
The Walking Dead: Destinies Review,2.0,/articles/the-walking-dead-destinies-review,2023-11-28T21:06:46.083Z,Tauriq Moosa
SteamWorld Build Review,7.0,/articles/steamworld-build-review,2023-11-28T00:40:49.613Z,Jon Bolding
Bluey: The Videogame Review,4.0,/articles/bluey-the-videogame-review,2023-11-22T08:14:17.295Z,Luke Reilly
Flashback 2 Review,2.0,/articles/flashback-2-review,2023-11-21T06:42:01.433Z,Tristan Ogilvie
Naruto x Boruto Ultimate Ninja Storm Connections Review,5.0,/articles/naruto-x-boruto-ultimate-ninja-storm-connections-review,2023-11-17T21:29:05.440Z,Charlie Wacholz
The Last Faith Review,7.0,/articles/the-last-faith-review,2023-11-15T18:00:00.000Z,Jarrett Green
Super Mario RPG Review,8.0,/articles/super-mario-rpg-review,2023-11-15T14:00:00.000Z,Tom Marks
Persona 5 Tactica Review,8.0,/articles/persona-5-tactica-review,2023-11-14T17:00:00.000Z,Leana Hafer
My Time at Sandrock Review,8.0,/articles/my-time-at-sandrock-review,2023-11-09T22:27:23.721Z,Miranda Sanchez
Nickelodeon All-Star Brawl 2 Review ,9.0,/articles/nickelodeon-all-star-brawl-2-review,2023-11-07T15:00:00.000Z,Charlie Wacholz
Thirsty Suitors Review,8.0,/articles/thirsty-suitors-review,2023-11-01T19:48:14.124Z,Saniya Ahmed
WarioWare: Move It! Review,7.0,/articles/warioware-move-it-review,2023-11-01T14:00:00.000Z,Travis Northup
Laika: Aged Through Blood Review,9.0,/articles/laika-aged-through-blood-review,2023-10-19T13:00:00.000Z,Brendan Graeber
Hellboy Web of Wyrd Review,6.0,/articles/hellboy-web-of-wyrd-review,2023-10-18T22:43:36.820Z,Jarrett Green
Skull Island: Rise of Kong Review,3.0,/articles/skull-island-rise-of-kong-review,2023-10-18T22:09:41.182Z,Phil Hornshaw
Super Mario Bros. Wonder Review,9.0,/articles/super-mario-bros-wonder-review,2023-10-18T13:00:00.000Z,Ryan McCaffrey
Wizard with a Gun Review,6.0,/articles/wizard-with-a-gun-review,2023-10-17T20:27:14.696Z,Carli Velocci
Endless Dungeon Review,8.0,/articles/endless-dungeon-review,2023-10-16T14:00:00.000Z,Justin Koreis
Hot Wheels Unleashed 2: Turbocharged Review,8.0,/articles/hot-wheels-unleashed-2-turbocharged-review,2023-10-16T07:00:00.924Z,Luke Reilly
Sonic Superstars Review,7.0,/articles/sonic-superstars-review,2023-10-13T13:00:00.000Z,Jada Griffin
Cricket 24 Review,5.0,/articles/cricket-24-review,2023-10-10T07:36:45.762Z,Tristan Ogilvie
EA Sports FC 24 for Switch Review,4.0,/articles/ea-sports-fc-24-for-switch-review,2023-10-04T19:17:22.218Z,Andrew McMahon
Detective Pikachu Returns Review,6.0,/articles/detective-pikachu-returns-review,2023-10-04T14:00:00.000Z,Carli Velocci
Avatar: The Last Airbender - Quest for Balance Review,4.0,/articles/avatar-the-last-airbender-quest-for-balance-review,2023-09-28T17:24:03.638Z,Tom Marks
Cocoon Review,9.0,/articles/cocoon-review,2023-09-28T16:00:00.000Z,Hana Kim
