title,score,url,date,author
Catherine: Full Body Review,8.8,/articles/2019/09/04/catherine-full-body-review,2019-09-04T16:00:35.000Z,Mitchell Saltzman
Salt and Sanctuary Review ,8.6,/articles/2018/08/01/salt-and-sanctuary-review,2018-08-01T18:55:45.000Z,Leif Johnson
Iconoclasts Review,8.4,/articles/2018/02/01/iconoclasts-review,2018-02-01T23:13:37.000Z,Jeremy Parish
SteamWorld Dig 2 Review,8.8,/articles/2017/09/21/steamworld-dig-2-review,2017-09-21T07:09:50.000Z,Cam Shea
Shovel Knight: Treasure Trove Review,9.0,/articles/2017/03/07/shovel-knight-treasure-trove-review,2017-03-07T03:09:19.000Z,Mike Rougeau
Shantae: Half-Genie Hero Review,8.0,/articles/2016/12/20/shantae-half-genie-hero-review,2016-12-20T19:28:12.000Z,Vince Ingenito
Zero Time Dilemma Review,9.2,/articles/2016/06/29/zero-time-dilemma-review,2016-06-29T22:54:53.000Z,Michael Koczwara
LEGO Star Wars: The Force Awakens Review,9.0,/articles/2016/06/29/lego-star-wars-the-force-awakens-review,2016-06-29T00:43:15.000Z,Marty Sliva
Odin Sphere: Leifthrasir Review,9.5,/articles/2016/06/01/odin-sphere-leifthrasir-review,2016-06-01T16:00:12.000Z,Meghan Sullivan
Severed Review,6.4,/articles/2016/04/26/severed-review,2016-04-26T15:00:28.000Z,Miranda Sanchez
LEGO Marvel's Avengers Review,6.7,/articles/2016/01/28/lego-marvels-avengers-review,2016-01-28T00:52:46.000Z,Alanah Pearce
Darkest Dungeon Review,9.1,/articles/2016/01/27/darkest-dungeon-review,2016-01-27T00:02:33.000Z,Dan Stapleton
Tales from the Borderlands Episode 5: The Vault of the Traveler Review,9.0,/articles/2015/10/20/tales-from-the-borderlands-episode-5-the-vault-of-the-traveler-review,2015-10-20T06:59:25.000Z,Marty Sliva
Broforce Review,8.8,/articles/2015/10/20/broforce-review,2015-10-20T05:19:53.000Z,Luke Reilly
Assault Android Cactus Review,8.8,/articles/2015/09/28/assault-android-cactus-review,2015-09-28T05:50:41.000Z,Cam Shea
Steins;Gate Review,6.9,/articles/2015/09/12/steinsgate-review,2015-09-12T00:08:18.000Z,Meghan Sullivan
One Piece: Pirate Warriors 3 Review,6.9,/articles/2015/09/11/one-piece-pirate-warriors-3-review,2015-09-11T23:26:41.000Z,Kallie Plagge
Hatoful Boyfriend PS4 Review,8.0,/articles/2015/07/27/hatoful-boyfriend-ps4-review,2015-07-27T17:01:47.000Z,Miranda Sanchez
Titan Souls Review,8.0,/articles/2015/04/13/titan-souls-review,2015-04-13T12:59:31.000Z,Brandin Tyrrel
Axiom Verge Review,7.9,/articles/2015/03/30/axiom-verge-review,2015-03-30T12:00:48.000Z,Marty Sliva
Helldivers Review,9.0,/articles/2015/03/14/helldivers-review,2015-03-14T00:08:05.000Z,Vince Ingenito
OlliOlli 2: Welcome to Olliwood Review,9.0,/articles/2015/03/03/olliolli-2-welcome-to-olliwood-review,2015-03-03T15:00:14.000Z,Cam Shea
Kick & Fennick Review,7.7,/articles/2015/02/16/kick-fennick-review,2015-02-16T19:12:19.000Z,Tom Mc Shea
