title,score,url,date,author
LEGO Star Wars: The Force Awakens Review,9.0,/articles/2016/06/29/lego-star-wars-the-force-awakens-review,2016-06-29T00:43:15.000Z,Marty Sliva
Teenage Mutant Ninja Turtles: Mutants in Manhattan Review,4.9,/articles/2016/05/26/teenage-mutant-ninja-turtles-mutants-in-manhattan-review,2016-05-26T20:35:51.000Z,Dave Rudden
The Walking Dead: Michonne - Episode 3 Review,6.3,/articles/2016/04/27/the-walking-dead-michonne-episode-3-review,2016-04-27T00:55:09.000Z,Kallie Plagge
The Walking Dead: Michonne - Episode 2 Review,7.2,/articles/2016/04/01/the-walking-dead-michonne-episode-2-review,2016-04-01T00:55:07.000Z,Kallie Plagge
The Walking Dead: Michonne - Episode 1 Review,7.0,/articles/2016/02/23/the-walking-dead-michonne-episode-1-review,2016-02-23T08:01:26.000Z,Kallie Plagge
LEGO Marvel's Avengers Review,6.7,/articles/2016/01/28/lego-marvels-avengers-review,2016-01-28T00:52:46.000Z,Alanah Pearce
Minecraft: Story Mode Episode 4 - A Block and a Hard Place Review,6.3,/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review,2016-01-14T23:57:29.000Z,Justin Davis
King's Quest -- Episode 2: Rubble Without a Cause Review,6.7,/articles/2016/01/07/kings-quest-episode-2-rubble-without-a-cause-review,2016-01-07T19:17:49.000Z,Leif Johnson
Minecraft: Story Mode Episode 3 - The Last Place You Look Review,7.7,/articles/2015/11/25/minecraft-story-mode-episode-3-the-last-place-you-look-review,2015-11-25T18:47:22.000Z,Justin Davis
Guitar Hero Live Review,7.9,/articles/2015/10/25/guitar-hero-live-review,2015-10-25T21:00:53.000Z,Tristan Ogilvie
Tales from the Borderlands Episode 5: The Vault of the Traveler Review,9.0,/articles/2015/10/20/tales-from-the-borderlands-episode-5-the-vault-of-the-traveler-review,2015-10-20T06:59:25.000Z,Marty Sliva
Prison Architect Review,8.3,/articles/2015/10/06/prison-architect-review,2015-10-06T16:00:39.000Z,Richard Cobbett
Tony Hawk’s Pro Skater 5 Review,3.5,/articles/2015/10/02/tony-hawks-pro-skater-5-review,2015-10-02T22:20:39.000Z,Marty Sliva
LEGO Dimensions Review,7.7,/articles/2015/09/29/lego-dimensions-review,2015-09-29T21:03:41.000Z,Marty Sliva
Ori and the Blind Forest Review,8.5,/articles/2015/03/10/ori-and-the-blind-forest-review,2015-03-10T02:58:51.000Z,Mikel Reparaz
The Walking Dead: A Telltale Game Series -- Season 2 Review,8.0,/articles/2014/12/31/the-walking-dead-a-telltale-game-series-season-2-review,2014-12-31T22:57:39.000Z,Mitch Dyer
Rugby 15 Review,2.0,/articles/2014/12/04/rugby-15-review,2014-12-04T23:23:23.000Z,Nathan Lawrence
Geometry Wars 3: Dimensions Review,7.9,/articles/2014/12/02/geometry-wars-3-dimensions-review,2014-12-02T17:31:56.000Z,Jose Otero
Escape Dead Island Review,6.8,/articles/2014/11/18/escape-dead-island-review,2014-11-18T05:00:43.000Z,Scott Butterworth
