title,score,url,date,author
Luigi's Mansion for 3DS Review,7.0,/articles/2018/10/11/luigis-mansion-for-3ds-review,2018-10-11T12:58:04.000Z,Jared Petty
WarioWare Gold Review,7.0,/articles/2018/07/31/warioware-gold-review,2018-07-31T02:25:52.000Z,Tristan Ogilvie
Captain Toad: Treasure Tracker - Switch and 3DS Review,8.7,/articles/2018/07/11/captain-toad-treasure-tracker-switch-and-3ds-review,2018-07-11T13:00:00.000Z,Joe Skrebels
Detective Pikachu Review ,8.2,/articles/2018/03/22/detective-pikachu-review,2018-03-22T21:03:28.000Z,Miranda Sanchez
Pokemon Ultra Sun and Ultra Moon Review,9.0,/articles/2017/11/14/pokemon-ultra-sun-and-ultra-moon-review,2017-11-14T14:00:38.000Z,Casey DeFreitas
Pokemon Ultra Sun and Ultra Moon Review,9.0,/articles/2017/11/14/pokemon-ultra-sun-and-ultra-moon-review,2017-11-14T14:00:38.000Z,Casey DeFreitas
Metroid: Samus Returns Review,8.5,/articles/2017/09/12/metroid-samus-returns-review,2017-09-12T11:57:02.000Z,Sam Claiborn
Monster Hunter Stories Review,8.9,/articles/2017/09/08/monster-hunter-stories-review,2017-09-08T20:38:23.000Z,Casey DeFreitas
Hey! Pikmin Review,6.8,/articles/2017/07/26/hey-pikmin-review,2017-07-26T15:00:04.000Z,Heidi Kemps
Ever Oasis Review,8.9,/articles/2017/06/28/ever-oasis-review,2017-06-28T00:30:13.000Z,Brendan Graeber
Ever Oasis Review,8.9,/articles/2017/06/28/ever-oasis-review,2017-06-28T00:30:13.000Z,Brendan Graeber
Fire Emblem Echoes: Shadows of Valentia Review,7.8,/articles/2017/05/16/fire-emblem-echoes-shadows-of-valentia-review,2017-05-16T22:21:11.000Z,Meghan Sullivan
Story of Seasons: Trio of Towns Review,7.7,/articles/2017/03/16/story-of-seasons-trio-of-towns-review,2017-03-16T20:28:32.000Z,Seth G. Macy
Shovel Knight: Treasure Trove Review,9.0,/articles/2017/03/07/shovel-knight-treasure-trove-review,2017-03-07T03:09:19.000Z,Mike Rougeau
Poochy and Yoshi's Woolly World Review,7.1,/articles/2017/02/01/poochy-yoshis-woolly-world-review,2017-02-01T14:00:02.000Z,Daniel Krupa
Dragon Quest VIII: Journey of the Cursed King Review,8.8,/articles/2017/01/10/dragon-quest-viii-journey-of-the-cursed-king-review,2017-01-10T14:00:39.000Z,John Robertson
Super Mario Maker for Nintendo 3DS Review,7.2,/articles/2016/11/30/super-mario-maker-for-nintendo-3ds-review,2016-11-30T13:58:37.000Z,Jose Otero
Mario Party Star Rush Review,5.2,/articles/2016/11/17/mario-party-star-rush-review,2016-11-17T01:36:15.000Z,Jose Otero
Pokemon Sun and Moon Review,9.0,/articles/2016/11/15/pokemon-sun-and-moon-review,2016-11-15T14:00:35.000Z,Kallie Plagge
Pokemon Sun and Moon Review,9.0,/articles/2016/11/15/pokemon-sun-and-moon-review,2016-11-15T14:00:35.000Z,Kallie Plagge
