title,score,url,date,author
Fortnite Rocket Racing Review,6.0,/articles/fortnite-rocket-racing-review,2023-12-21T02:01:14.471Z,Gabriel Moss
Silent Hill: Ascension Mid-Season Review,5.0,/articles/silent-hill-ascension-mid-season-review,2023-12-20T21:34:15.790Z,Vikki Blake
Fortnite Festival Review,4.0,/articles/fortnite-festival-review,2023-12-15T00:34:33.184Z,Luke Reilly
Lego Fortnite Review,7.0,/articles/lego-fortnite-review,2023-12-13T00:33:35.100Z,Phil Hornshaw
WrestleQuest Review,6.0,/articles/wrestlequest-review,2023-08-16T15:00:00.000Z,Jarrett Green
Honkai: Star Rail Review,9.0,/articles/honkai-star-rail-review,2023-05-10T13:00:00.000Z,Jess Reyes
Mighty Doom Review,5.0,/articles/mighty-doom-review,2023-04-11T16:50:03.032Z,Chris Reed
Marvel Snap Review,8.0,/articles/marvel-snap-review,2022-11-04T06:12:34.503Z,Cam Shea
Immortality Review,8.0,/articles/immortality-review,2022-08-30T08:00:00.000Z,Tristan Ogilvie
Gwent: Rogue Mage Review,8.0,/articles/gwent-rogue-mage-review,2022-07-07T18:28:16.083Z,Leana Hafer
Gwent: Rogue Mage Review,8.0,/articles/gwent-rogue-mage-review,2022-07-07T18:28:16.083Z,Leana Hafer
Diablo Immortal Review,6.0,/articles/diablo-immortal-review,2022-06-01T12:00:09.406Z,Cam Shea
Apex Legends Mobile Review,8.0,/articles/apex-legends-mobile-review,2022-05-26T19:00:50.000Z,Stella Chung
eFootball 2022 Update 1.0 Review,4.0,/articles/efootball-2022-review,2022-04-27T14:47:00.000Z,Simon Cardy
Grand Theft Auto: The Trilogy - The Definitive Edition Review,5.0,/articles/grand-theft-auto-the-trilogy-the-definitive-edition-review,2021-11-17T08:40:37.894Z,Tristan Ogilvie
Pokemon Unite Review,6.0,/articles/pokemon-unite-review,2021-07-30T21:35:23.042Z,Sam Stewart
Genshin Impact Review,9.0,/articles/genshin-impact-review,2020-10-13T22:55:03.000Z,Travis Northup
Legends of Runeterra Review,9.0,/articles/legends-of-runeterra-review,2020-05-14T02:50:22.000Z,Cam Shea
Harry Potter: Wizards Unite Review,6.7,/articles/2019/06/29/harry-potter-wizards-unite-review-2,2019-06-29T00:18:28.000Z,Jonathon Dornbush
The Elder Scrolls: Blades Early Access Review,5.4,/articles/2019/04/23/the-elder-scrolls-blades-early-access-review,2019-04-23T20:10:00.000Z,David Jagneaux
Alien: Blackout Review,6.3,/articles/2019/01/30/alien-blackout-review,2019-01-30T01:53:24.000Z,David Jagneaux
The Walking Dead: The Final Season Episode 1 Review,6.5,/articles/2018/08/13/the-walking-dead-the-final-season-episode-one-review,2018-08-13T15:00:29.000Z,Cassidee Moser
Pokemon Quest Review,6.0,/articles/2018/07/06/pokemon-quest-review,2018-07-06T02:11:19.000Z,Casey DeFreitas
Harry Potter: Hogwarts Mystery Review,3.5,/articles/2018/05/03/harry-potter-hogwarts-mystery-review,2018-05-03T22:05:08.000Z,David Jagneaux
PUBG Mobile Review,8.7,/articles/2018/03/24/pubg-mobile-review,2018-03-24T00:27:34.000Z,David Jagneaux
PUBG Mobile Review,8.7,/articles/2018/03/24/pubg-mobile-review,2018-03-24T00:27:34.000Z,David Jagneaux
Telltale's Batman: The Enemy Within Episode 4 – What Ails You Review,7.5,/articles/2018/01/22/telltales-batman-the-enemy-within-episode-4-a-what-ails-you-review,2018-01-22T08:01:18.000Z,Ryan McCaffrey
DropMix Review,8.0,/articles/2017/12/01/dropmix-review,2017-12-01T12:35:53.000Z,Joe Skrebels
Fire Emblem Heroes Review,7.4,/articles/2017/02/08/fire-emblem-heroes-review,2017-02-08T00:58:07.000Z,Meghan Sullivan
Fire Emblem Heroes Review,7.4,/articles/2017/02/08/fire-emblem-heroes-review,2017-02-08T00:58:07.000Z,Meghan Sullivan
Pokemon Go Review,7.0,/articles/2016/07/13/pokemon-go-review,2016-07-13T01:39:34.000Z,Kallie Plagge
The Walking Dead: Michonne - Episode 3 Review,6.3,/articles/2016/04/27/the-walking-dead-michonne-episode-3-review,2016-04-27T00:55:09.000Z,Kallie Plagge
1979 Revolution: Black Friday Review,8.0,/articles/2016/04/21/1979-revolution-black-friday-review,2016-04-21T22:17:14.000Z,Chloi Rad
The Banner Saga 2 Review,8.9,/articles/2016/04/19/the-banner-saga-2-review,2016-04-19T13:00:23.000Z,Leif Johnson
The Walking Dead: Michonne - Episode 2 Review,7.2,/articles/2016/04/01/the-walking-dead-michonne-episode-2-review,2016-04-01T00:55:07.000Z,Kallie Plagge
The Walking Dead: Michonne - Episode 1 Review,7.0,/articles/2016/02/23/the-walking-dead-michonne-episode-1-review,2016-02-23T08:01:26.000Z,Kallie Plagge
Layers of Fear Review,5.8,/articles/2016/02/14/layers-of-fear-review,2016-02-14T15:02:17.000Z,Chloi Rad
Punch Club Review,6.5,/articles/2016/01/15/punch-club-review,2016-01-15T23:15:13.000Z,Mitch Dyer
Minecraft: Story Mode Episode 4 - A Block and a Hard Place Review,6.3,/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review,2016-01-14T23:57:29.000Z,Justin Davis
Rick and Morty: Pocket Mortys Review,5.5,/articles/2016/01/12/rick-and-morty-pocket-mortys-review,2016-01-12T23:46:28.000Z,Cassidee Moser
The Room 3 Review,9.0,/articles/2015/12/15/the-room-3-review,2015-12-15T18:30:41.000Z,Mitch Dyer
Minecraft: Story Mode Episode 3 - The Last Place You Look Review,7.7,/articles/2015/11/25/minecraft-story-mode-episode-3-the-last-place-you-look-review,2015-11-25T18:47:22.000Z,Justin Davis
