title,score,url,date,author
Jet Set Radio Review (iOS),5.6,/articles/2012/12/13/jet-set-radio-review-ios,2012-12-13T00:14:30.000Z,Vincent Ingenito
Radirgy,6.5,/articles/2006/06/07/radirgy,2006-06-07T23:49:00.000Z,The Floigan Bros.
NHL 2K2 Review,9.2,/articles/2002/02/12/nhl-2k2-review,2002-02-12T08:00:00.000Z,Chris Carle
Conflict Zone,5.6,/articles/2002/01/08/conflict-zone-2,2002-01-08T00:30:00.000Z,IGN Staff
Headhunter (PAL Import),9.0,/articles/2002/01/08/headhunter-pal-import,2002-01-08T00:30:00.000Z,IGN Staff
Fatal Fury: Mark Of The Wolves,9.0,/articles/2001/12/12/fatal-fury-mark-of-the-wolves,2001-12-12T00:30:00.000Z,Anthony Chau
Bomberman Online,9.0,/articles/2001/11/21/bomberman-online,2001-11-21T00:30:00.000Z,IGN Staff
NBA 2K2,9.4,/articles/2001/11/03/nba-2k2-6,2001-11-03T00:30:00.000Z,IGN Staff
Tennis 2K2,9.6,/articles/2001/10/30/tennis-2k2,2001-10-30T00:30:00.000Z,IGN Staff
Heavy Metal Geomatrix,7.5,/articles/2001/10/11/heavy-metal-geomatrix,2001-10-11T23:30:00.000Z,IGN Staff
Heavy Metal Geomatrix,7.5,/articles/2001/10/11/heavy-metal-geomatrix,2001-10-11T23:30:00.000Z,IGN Staff
Alone in the Dark: The New Nightmare,7.3,/articles/2001/10/08/alone-in-the-dark-the-new-nightmare,2001-10-08T23:30:00.000Z,IGN Staff
Phantasy Star Online Version 2,8.5,/articles/2001/10/03/phantasy-star-online-version-2,2001-10-03T23:30:00.000Z,IGN Staff
Zero Gunner 2 (Import),8.3,/articles/2001/09/24/zero-gunner-2-import,2001-09-24T23:30:00.000Z,IGN Staff
Ooga Booga,9.4,/articles/2001/09/18/ooga-booga,2001-09-18T23:30:00.000Z,IGN Staff
Dragon Riders - Chronicles of Pern,3.6,/articles/2001/09/04/dragon-riders-chronicles-of-pern-2,2001-09-04T23:30:00.000Z,IGN Staff
Atari: Anniversary Collection,7.5,/articles/2001/08/31/atari-anniversary-collection,2001-08-31T23:30:00.000Z,IGN Staff
NCAA College Football 2K2,7.8,/articles/2001/08/31/ncaa-college-football-2k2,2001-08-31T23:30:00.000Z,IGN Staff
Sega Bass Fishing 2,8.3,/articles/2001/08/29/sega-bass-fishing-2,2001-08-29T23:30:00.000Z,IGN Staff
Death Crimson OX,4.3,/articles/2001/08/22/death-crimson-ox,2001-08-22T23:30:00.000Z,IGN Staff
Razor Freestyle Scooter Dreamcast Review,6.2,/articles/2001/08/17/razor-freestyle-scooter-3,2001-08-17T23:30:00.000Z,IGN Staff
World Series Baseball 2K2,8.7,/articles/2001/08/17/world-series-baseball-2k2,2001-08-17T23:30:00.000Z,IGN Staff
Alien Front Online,8.5,/articles/2001/08/03/alien-front-online-2,2001-08-03T23:30:00.000Z,IGN Staff
Last Blade 2: Heart of the Samurai,8.7,/articles/2001/08/02/last-blade-2-heart-of-the-samurai,2001-08-02T23:30:00.000Z,IGN Staff
Reel Fishing Wild,6.8,/articles/2001/08/01/reel-fishing-wild,2001-08-01T23:30:00.000Z,IGN Staff
Soldier of Fortune,8.5,/articles/2001/07/23/soldier-of-fortune-3,2001-07-23T23:30:00.000Z,IGN Staff
Sports Jam,7.1,/articles/2001/07/13/sports-jam,2001-07-13T23:30:00.000Z,IGN Staff
Sonic Adventure 2,9.4,/articles/2001/06/22/sonic-adventure-2,2001-06-22T23:30:00.000Z,IGN Staff
Worms World Party,8.2,/articles/2001/06/13/worms-world-party-3,2001-06-13T23:30:00.000Z,IGN Staff
Worms World Party,8.2,/articles/2001/06/13/worms-world-party-3,2001-06-13T23:30:00.000Z,IGN Staff
18-Wheeler American Pro Trucker,7.8,/articles/2001/05/31/18-wheeler-american-pro-trucker-4,2001-05-31T23:30:00.000Z,IGN Staff
Confidential Mission,8.8,/articles/2001/05/23/confidential-mission,2001-05-23T23:30:00.000Z,IGN Staff
Project Justice,8.8,/articles/2001/05/01/project-justice,2001-05-01T23:30:00.000Z,IGN Staff
Mars Matrix,8.5,/articles/2001/04/30/mars-matrix,2001-04-30T23:30:00.000Z,Anthony Chau
Illbleed,6.7,/articles/2001/04/18/illbleed,2001-04-18T23:30:00.000Z,IGN Staff
Spider-Man,8.4,/articles/2001/04/18/spider-man-22,2001-04-18T23:30:00.000Z,IGN Staff
Record of Lodoss War,8.7,/articles/2001/03/17/record-of-lodoss-war-2,2001-03-17T00:30:00.000Z,IGN Staff
Daytona USA 2001,9.3,/articles/2001/03/15/daytona-usa-2001,2001-03-15T00:30:00.000Z,IGN Staff
Fire ProWrestling D (import),8.7,/articles/2001/03/14/fire-prowrestling-d-import,2001-03-14T00:30:00.000Z,IGN Staff
Unreal Tournament,9.4,/articles/2001/03/13/unreal-tournament-4,2001-03-13T00:30:00.000Z,IGN Staff
Coaster Works,8.4,/articles/2001/03/07/coaster-works-2,2001-03-07T00:30:00.000Z,IGN Staff
Ducati World Racing Challenge,2.7,/articles/2001/03/06/ducati-world-racing-challenge-2,2001-03-06T00:30:00.000Z,IGN Staff
Surf Rocket Racer,7.2,/articles/2001/03/06/surf-rocket-racer-2,2001-03-06T00:30:00.000Z,IGN Staff
Macross M3,4.0,/articles/2001/02/28/macross-m3,2001-02-28T00:30:00.000Z,IGN Staff
NBA Hoopz,7.4,/articles/2001/02/21/nba-hoopz-3,2001-02-21T00:30:00.000Z,IGN Staff
Giga Wing 2 (Import),5.0,/articles/2001/02/16/giga-wing-2-import,2001-02-16T00:30:00.000Z,IGN Staff
Iron Aces,7.5,/articles/2001/02/15/iron-aces,2001-02-15T00:30:00.000Z,IGN Staff
Kao the Kangaroo,6.2,/articles/2001/02/14/kao-the-kangaroo-5,2001-02-14T00:30:00.000Z,IGN Staff
Sega Smash Pack Vol. 1,8.0,/articles/2001/02/10/sega-smash-pack-vol-1,2001-02-10T00:30:00.000Z,IGN Staff
Charge N' Blast,7.5,/articles/2001/02/09/charge-n-blast-2,2001-02-09T00:30:00.000Z,IGN Staff
Phantasy Star Online,9.3,/articles/2001/02/01/phantasy-star-online-2,2001-02-01T00:30:00.000Z,IGN Staff
