title,score,url,date,author
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage? Review,8.5,/articles/2012/11/22/adventure-time-hey-ice-king-whyd-you-steal-our-garbage-review,2012-11-22T20:45:42.000Z,Lucas M. Thomas
Transformers: Prime - The Game Review,8.0,/articles/2012/11/07/transformers-prime-the-game-review,2012-11-07T17:34:32.000Z,Lucas M. Thomas
Cars 2 The Game [DS] Review,6.5,/articles/2011/06/22/cars-2-the-game-ds-review,2011-06-22T23:23:30.000Z,Nicole Tanner
Transformers: Dark of the Moon -- Autobots Review,5.0,/articles/2011/06/18/transformers-dark-of-the-moon-autobots-review,2011-06-18T00:52:00.000Z,Lucas M. Thomas
Transformers: Dark of the Moon -- Autobots Review,5.0,/articles/2011/06/18/transformers-dark-of-the-moon-autobots-review,2011-06-18T00:52:00.000Z,Lucas M. Thomas
Transformers: Dark of the Moon -- Decepticons Review,5.0,/articles/2011/06/17/transformers-dark-of-the-moon-decepticons-review,2011-06-17T20:00:00.000Z,Lucas M. Thomas
Transformers: Dark of the Moon -- Decepticons Review,5.0,/articles/2011/06/17/transformers-dark-of-the-moon-decepticons-review,2011-06-17T20:00:00.000Z,Lucas M. Thomas
Kung Fu Panda 2 Video Game Review [DS],6.0,/articles/2011/05/28/kung-fu-panda-2-video-game-review-ds,2011-05-28T01:16:19.000Z,Nicole Tanner
Art Academy Review,6.5,/articles/2010/11/12/art-academy-review,2010-11-12T18:01:00.000Z,Arthur Gies
Harvest Moon: Grand Bazaar Review,6.5,/articles/2010/09/08/harvest-moon-grand-bazaar-review,2010-09-08T23:01:38.000Z,David Clayman
Harvest Moon: Grand Bazaar Review,6.5,/articles/2010/09/08/harvest-moon-grand-bazaar-review,2010-09-08T23:01:38.000Z,David Clayman
Phoenix Wright Ace Attorney Wii Review,6.0,/articles/2010/01/12/phoenix-wright-ace-attorney-wii-review,2010-01-12T01:46:00.000Z,Craig Harris
Planet 51 Review,3.0,/articles/2009/11/20/planet-51-review,2009-11-20T00:04:00.000Z,Jim Vejvoda
Planet 51 Review,3.0,/articles/2009/11/20/planet-51-review,2009-11-20T00:04:00.000Z,Jim Vejvoda
