title,score,url,date,author
Madden NFL 08 Review,7.6,/articles/2007/08/14/madden-nfl-08-review-4,2007-08-14T23:03:00.000Z,Jeff Haynes
Ratatouille Review,6.5,/articles/2007/07/31/ratatouille-review-7,2007-07-31T20:59:00.000Z,Matt Casamassina
Meet the Robinsons Review,7.0,/articles/2007/03/27/meet-the-robinsons-review,2007-03-27T23:53:00.000Z,Bozon
TMNT Review,6.0,/articles/2007/03/21/tmnt-review-3,2007-03-21T23:42:00.000Z,Erik Brudvig
Shrek Smash n' Crash Racing Review,5.9,/articles/2007/03/15/shrek-smash-n-crash-racing-review,2007-03-15T23:37:00.000Z,Bozon
The Legend of Zelda: Twilight Princess Review,9.5,/articles/2006/12/15/the-legend-of-zelda-twilight-princess-review,2006-12-15T22:59:00.000Z,Matt Casamassina
Happy Feet PC Review,4.5,/articles/2006/12/12/happy-feet-2,2006-12-12T01:25:00.000Z,Matt Casamassina
Happy Feet Console Review,4.5,/articles/2006/12/12/happy-feet-3,2006-12-12T01:24:00.000Z,Matt Casamassina
Tomb Raider: Legend,8.0,/articles/2006/12/12/tomb-raider-legend-2,2006-12-12T00:12:00.000Z,Douglass C. Perry
Happy Feet Review,4.5,/articles/2006/12/11/happy-feet-4,2006-12-11T22:17:00.000Z,Matt Casamassina
Happy Feet Review,4.5,/articles/2006/12/11/happy-feet-4,2006-12-11T22:17:00.000Z,Matt Casamassina
Happy Feet DS Review,5.0,/articles/2006/12/01/happy-feet-review-3,2006-12-01T22:58:00.000Z,Jack DeVries
Flushed Away Review,4.0,/articles/2006/11/08/flushed-away-review-3,2006-11-08T00:57:00.000Z,Mark Bozon
Nicktoons: Battle for Volcano Island Review [PS2/GameCube],4.2,/articles/2006/11/03/nicktoons-battle-for-volcano-island-review-2,2006-11-03T11:13:00.000Z,Micah Seff
Need for Speed Carbon Review,7.8,/articles/2006/10/28/need-for-speed-carbon-review-3,2006-10-28T11:52:00.000Z,Douglass C. Perry
The Legend of Spyro: A New Beginning,7.7,/articles/2006/10/19/the-legend-of-spyro-a-new-beginning,2006-10-19T22:51:00.000Z,Mark Bozon
The Sims 2 Pets Review,7.7,/articles/2006/10/18/the-sims-2-pets-review-8,2006-10-18T23:29:00.000Z,Juan Castro
The Grim Adventures of Billy & Mandy,7.2,/articles/2006/10/17/the-grim-adventures-of-billy-mandy-4,2006-10-17T21:32:00.000Z,Mark Bozon
Avatar: The Last Airbender,5.1,/articles/2006/10/16/avatar-the-last-airbender-5,2006-10-16T22:07:00.000Z,Matt Casamassina
FIFA 07 Review,8.4,/articles/2006/10/10/fifa-07-review-4,2006-10-10T03:58:00.000Z,Jonathan Miller
Open Season,6.0,/articles/2006/10/03/open-season-6,2006-10-03T22:54:00.000Z,Mark Bozon
Baten Kaitos Origins,8.3,/articles/2006/09/26/baten-kaitos-origins,2006-09-26T00:07:00.000Z,Mark Bozon
Naruto: Clash of Ninja 2 Review,8.2,/articles/2006/09/23/naruto-clash-of-ninja-2-review,2006-09-23T00:21:00.000Z,Mark Bozon
One Piece: Pirate's Carnival,4.5,/articles/2006/09/20/one-piece-pirates-carnival-2,2006-09-20T21:51:00.000Z,Mark Bozon
LEGO Star Wars II: The Original Trilogy Review,8.4,/articles/2006/09/07/lego-star-wars-ii-the-original-trilogy-review-4,2006-09-07T22:00:00.000Z,Jeremy Dunham
One Piece: Grand Adventure Review,7.8,/articles/2006/08/26/one-piece-grand-adventure-review,2006-08-26T01:38:00.000Z,Mark Bozon
Madden NFL 07 Review,8.3,/articles/2006/08/23/madden-nfl-07-review-3,2006-08-23T17:08:00.000Z,Jeff Haynes
Barnyard,6.7,/articles/2006/08/08/barnyard-3,2006-08-08T00:38:00.000Z,Mark Bozon
Super Monkey Ball Adventure,4.8,/articles/2006/08/08/super-monkey-ball-adventure,2006-08-08T00:36:00.000Z,Matt Casamassina
Super Monkey Ball Adventure,4.8,/articles/2006/08/08/super-monkey-ball-adventure,2006-08-08T00:36:00.000Z,Matt Casamassina
The Ant Bully,5.5,/articles/2006/08/02/the-ant-bully-3,2006-08-02T01:34:00.000Z,Mark Bozon
Monster House Review,6.8,/articles/2006/08/01/monster-house-review-2,2006-08-01T17:47:00.000Z,Jeff Haynes
MLB 2K6,7.0,/articles/2006/06/14/mlb-2k6,2006-06-14T21:11:00.000Z,Jonathan Miller
Disney/Pixar's Cars,7.0,/articles/2006/06/12/disneypixars-cars-4,2006-06-12T23:17:00.000Z,Mark Bozon
Kao the Kangaroo Round 2,5.5,/articles/2006/05/30/kao-the-kangaroo-round-2-2,2006-05-30T23:25:00.000Z,Mark Bozon
Teen Titans,6.0,/articles/2006/05/27/teen-titans,2006-05-27T01:08:00.000Z,Juan Castro
Over the Hedge,6.5,/articles/2006/05/25/over-the-hedge-5,2006-05-25T22:00:00.000Z,Mark Bozon
X-Men: The Official Game,5.9,/articles/2006/05/18/x-men-the-official-game-6,2006-05-18T16:57:00.000Z,Jeremy Dunham
Rampage: Total Destruction,5.0,/articles/2006/04/24/rampage-total-destruction-3,2006-04-24T22:09:00.000Z,Mark Bozon
2006 FIFA World Cup,8.0,/articles/2006/04/19/2006-fifa-world-cup-4,2006-04-19T04:06:00.000Z,Jonathan Miller
Naruto: Clash of Ninja,7.8,/articles/2006/03/08/naruto-clash-of-ninja,2006-03-08T18:54:00.000Z,Mark Bozon
FIFA Street 2,6.0,/articles/2006/03/01/fifa-street-2-3,2006-03-01T02:19:00.000Z,Douglass C. Perry
American Chopper 2,6.0,/articles/2006/02/16/american-chopper-2-2,2006-02-16T23:38:00.000Z,Mark Bozon
Curious George Review,5.5,/articles/2006/02/16/curious-george-review,2006-02-16T00:58:00.000Z,Mark Bozon
Curious George Review,5.5,/articles/2006/02/16/curious-george-review,2006-02-16T00:58:00.000Z,Mark Bozon
Chibi-Robo,8.2,/articles/2006/02/04/chibi-robo,2006-02-04T01:58:00.000Z,Matt Casamassina
Prince of Persia: The Two Thrones,8.8,/articles/2005/12/02/prince-of-persia-the-two-thrones-4,2005-12-02T03:10:00.000Z,Ivan Sulic
The Incredibles: Rise of the Underminer,6.0,/articles/2005/12/02/the-incredibles-rise-of-the-underminer,2005-12-02T02:00:00.000Z,Juan Castro
Peter Jackson's King Kong,8.0,/articles/2005/11/24/peter-jacksons-king-kong-3,2005-11-24T03:32:00.000Z,Douglass C. Perry
Pac-Man World 3,6.9,/articles/2005/11/17/pac-man-world-3-5,2005-11-17T02:05:00.000Z,Matt Casamassina
True Crime: New York City,7.8,/articles/2005/11/17/true-crime-new-york-city-4,2005-11-17T02:01:00.000Z,Chris Roper
Karaoke Revolution Party Review [PS2/GameCube],7.7,/articles/2005/11/15/karaoke-revolution-party-ps2gamecube,2005-11-15T05:45:06.000Z,Jonathan Miller
Harry Potter and the Goblet of Fire,7.2,/articles/2005/11/11/harry-potter-and-the-goblet-of-fire-6,2005-11-11T22:30:00.000Z,Matt Casamassina
Gun,8.0,/articles/2005/11/09/gun-2,2005-11-09T03:05:00.000Z,Douglass C. Perry
Mario Party 7,7.0,/articles/2005/11/07/mario-party-7,2005-11-07T23:20:00.000Z,Matt Casamassina
Disney's Chicken Little,7.0,/articles/2005/11/05/disneys-chicken-little,2005-11-05T02:00:00.000Z,Juan Castro
Call of Duty: Big Red One,8.0,/articles/2005/11/02/call-of-duty-big-red-one,2005-11-02T02:30:00.000Z,Ivan Sulic
Codename: Kids Next Door - Operation V.I.D.E.O.G.A.M.E.,4.0,/articles/2005/11/01/codename-kids-next-door-operation-videogame-2,2005-11-01T18:26:00.000Z,Ivan Sulic
LEGO Star Wars: The Video Game,8.0,/articles/2005/10/28/lego-star-wars-the-video-game,2005-10-28T18:43:00.000Z,Jeremy Dunham
The Sims 2,8.5,/articles/2005/10/27/the-sims-2-3,2005-10-27T23:47:00.000Z,Juan Castro
Dance Dance Revolution Mario Mix,8.0,/articles/2005/10/26/dance-dance-revolution-mario-mix,2005-10-26T21:47:00.000Z,Matt Casamassina
Midway Arcade Treasures 3,6.5,/articles/2005/10/26/midway-arcade-treasures-3,2005-10-26T00:12:00.000Z,Craig Harris
Tony Hawk's American Wasteland,8.5,/articles/2005/10/19/tony-hawks-american-wasteland-3,2005-10-19T01:34:00.000Z,Chris Roper
Fire Emblem: Path of Radiance,8.7,/articles/2005/10/14/fire-emblem-path-of-radiance,2005-10-14T23:55:00.000Z,Peer Schneider
FIFA 06,8.5,/articles/2005/10/01/fifa-06-3,2005-10-01T01:14:00.000Z,IGN Staff
NBA Live 06,9.0,/articles/2005/09/24/nba-live-06-6,2005-09-24T00:10:00.000Z,Jon Robinson
NBA Live 06,9.0,/articles/2005/09/24/nba-live-06-6,2005-09-24T00:10:00.000Z,Jon Robinson
Marvel Nemesis: Rise of the Imperfects,4.8,/articles/2005/09/23/marvel-nemesis-rise-of-the-imperfects-3,2005-09-23T02:28:00.000Z,Jeremy Dunham
Ultimate Spider-Man,8.4,/articles/2005/09/22/ultimate-spider-man-4,2005-09-22T21:55:00.000Z,Hilary Goldstein
Tak: The Great Juju Challenge,8.0,/articles/2005/09/21/tak-the-great-juju-challenge-4,2005-09-21T23:32:00.000Z,Matt Casamassina
World Series of Poker,3.5,/articles/2005/09/17/world-series-of-poker-3,2005-09-17T00:38:00.000Z,Chris Roper
Battalion Wars,8.8,/articles/2005/09/14/battalion-wars,2005-09-14T23:17:00.000Z,Matt Casamassina
Scooby-Doo! Unmasked,6.9,/articles/2005/09/13/scooby-doo-unmasked-4,2005-09-13T21:40:00.000Z,Matt Casamassina
NHL 06,8.5,/articles/2005/09/09/nhl-06,2005-09-09T01:00:00.000Z,David Clayman
Namco Museum: 50th Anniversary,5.0,/articles/2005/09/01/namco-museum-50th-anniversary,2005-09-01T00:12:00.000Z,Craig Harris
WWE Day of Reckoning 2,8.5,/articles/2005/08/27/wwe-day-of-reckoning-2,2005-08-27T00:35:00.000Z,Matt Casamassina
Mario Superstar Baseball,7.9,/articles/2005/08/25/mario-superstar-baseball,2005-08-25T17:43:00.000Z,Matt Casamassina
Sonic Gems Collection,7.5,/articles/2005/08/19/sonic-gems-collection,2005-08-19T22:09:00.000Z,Juan Castro 
Geist Review,7.8,/articles/2005/08/13/geist,2005-08-13T00:13:00.000Z,Matt Casamassina
Medal of Honor: European Assault,8.1,/articles/2005/06/06/medal-of-honor-european-assault-2,2005-06-06T21:23:00.000Z,Douglass C. Perry
