title,score,url,date,author
Space Invaders: The Original Game Review,4,/articles/2008/11/18/space-invaders-the-original-game-review,2008-11-18T00:55:00.000Z,Lucas M. Thomas
Space Invaders Review,5,/articles/2007/05/15/space-invaders-review,2007-05-15T20:28:00.000Z,Levi Buchanan
Tennis,8,/articles/2000/08/03/tennis-2,2000-08-03T00:00:00.000Z,Craig Harris
Final Fantasy Legend III,7,/articles/2000/06/17/final-fantasy-legend-iii,2000-06-17T00:00:00.000Z,"Dexter Sy, Contributor"
Final Fantasy Legend II,8,/articles/2000/06/15/final-fantasy-legend-ii,2000-06-15T00:00:00.000Z,Dexter Sy
Final Fantasy Legend,6,/articles/2000/06/13/final-fantasy-legend,2000-06-13T00:00:00.000Z,Dexter Sy
Final Fantasy Adventure,9,/articles/2000/06/10/final-fantasy-adventure,2000-06-10T00:00:00.000Z,"Dexter Sy, Contributor"
Pokemon Yellow: Special Pikachu Edition,10,/articles/1999/10/20/pokemon-yellow-special-pikachu-edition,1999-10-20T00:00:00.000Z,Craig Harris
V-Rally Edition 99 GBC Review,8,/articles/1999/07/14/v-rally-edition-99-3,1999-07-14T00:00:00.000Z,Peer Schneider
V-Rally Edition 99 GBC Review,8,/articles/1999/07/14/v-rally-edition-99-3,1999-07-14T00:00:00.000Z,Peer Schneider
V-Rally Edition 99 GBC Review,8,/articles/1999/07/14/v-rally-edition-99-3,1999-07-14T00:00:00.000Z,Peer Schneider
Golf,9,/articles/1999/06/26/golf-2,1999-06-26T00:00:00.000Z,Monica Wilbur
Harvest Moon,8,/articles/1999/06/24/harvest-moon-4,1999-06-24T00:00:00.000Z,Monica Wilbur
James Bond 007,7,/articles/1999/06/24/james-bond-007,1999-06-24T00:00:00.000Z,Monica Wilbur
Pokemon Blue,10,/articles/1999/06/24/pokemon-blue,1999-06-24T00:00:00.000Z,Craig Harris
Vegas Stakes,7,/articles/1999/06/24/vegas-stakes,1999-06-24T00:00:00.000Z,Monica Wilbur
Pokemon Red Review,10,/articles/1999/06/24/pokemon-red,1999-06-24T00:00:00.000Z,Craig Harris
F-1 Race,7,/articles/1999/06/23/f-1-race,1999-06-23T00:00:00.000Z,Monica Wilbur
Boggle Plus,6,/articles/1999/06/22/boggle-plus,1999-06-22T00:00:00.000Z,Monica Wilbur
Bomberman GB Review,8,/articles/1999/06/22/bomberman-gb-review,1999-06-22T00:00:00.000Z,Monica Wilbur
Championship Pool,4,/articles/1999/06/19/championship-pool,1999-06-19T00:00:00.000Z,Monica Wilbur
Mole Mania,8,/articles/1999/06/17/mole-mania,1999-06-17T00:00:00.000Z,Steve Averett
Kirby's Pinball Land,8,/articles/1999/06/16/kirbys-pinball-land,1999-06-16T00:00:00.000Z,Steve Averett
Game & Watch Gallery,8,/articles/1999/06/16/game-watch-gallery,1999-06-16T00:00:00.000Z,Steve Averett
Legend of the River King,7,/articles/1999/06/15/legend-of-the-river-king-4,1999-06-15T00:00:00.000Z,Steve Averett
Legend of the River King,7,/articles/1999/06/15/legend-of-the-river-king-4,1999-06-15T00:00:00.000Z,Steve Averett
