title,score,url,date,author
Jet Set Radio Review (iOS),5.6,/articles/2012/12/13/jet-set-radio-review-ios,2012-12-13T00:14:30.000Z,Vincent Ingenito
Bookworm DSi Review,8.0,/articles/2009/12/01/bookworm-dsi-review,2009-12-01T19:35:00.000Z,Daemon Hatfield
Super Mario Bros. 3 Review,9.5,/articles/2007/11/13/super-mario-bros-3-review,2007-11-13T01:55:00.000Z,Lucas M. Thomas
Over the Hedge: Hammy Goes Nuts Review [GBA],6.5,/articles/2007/01/11/over-the-hedge-hammy-goes-nuts-review-gba,2007-01-11T08:24:40.000Z,Jack DeVries
Happy Feet Review,4.5,/articles/2006/12/11/happy-feet-4,2006-12-11T22:17:00.000Z,Matt Casamassina
Tom and Jerry Tales Review [GBA],4.5,/articles/2006/11/15/tom-and-jerry-tales-review,2006-11-15T00:43:00.000Z,Jack DeVries
Nicktoons: Battle for Volcano Island Review [GBA],7.0,/articles/2006/11/15/nicktoons-battle-for-volcano-island-review,2006-11-15T00:34:00.000Z,Jack DeVries
Scurge: Hive Review,8.0,/articles/2006/10/28/scurge-hive-review,2006-10-28T00:36:00.000Z,Jack DeVries
Naruto: Ninja Council,6.5,/articles/2006/05/02/naruto-ninja-council,2006-05-02T23:39:00.000Z,Mark Bozon
Ice Age 2: The Meltdown,5.0,/articles/2006/04/14/ice-age-2-the-meltdown-2,2006-04-14T22:40:00.000Z,Mark Bozon
Ice Age 2: The Meltdown,5.0,/articles/2006/04/14/ice-age-2-the-meltdown-2,2006-04-14T22:40:00.000Z,Mark Bozon
Tales of Phantasia,7.5,/articles/2006/02/28/tales-of-phantasia,2006-02-28T18:05:00.000Z,Mark Bozon
Drill Dozer Review,8.0,/articles/2006/02/04/drill-dozer-review,2006-02-04T02:12:00.000Z,Mark
Danny Phantom: The Ultimate Enemy Review,7.5,/articles/2006/01/24/danny-phantom-the-ultimate-enemy-review,2006-01-24T03:47:00.000Z,Mark Bozon
Power Rangers SPD Review,4.0,/articles/2006/01/18/power-rangers-spd-review,2006-01-18T01:39:00.000Z,Mark Bozon
Chicken Little Review,7.8,/articles/2006/01/13/chicken-little-review,2006-01-13T01:20:00.000Z,Mark Bozon
Final Fantasy IV Advance,8.6,/articles/2005/12/15/final-fantasy-iv-advance,2005-12-15T02:30:00.000Z,Jeremy Dunham
Mario Tennis Power Tour,9.0,/articles/2005/12/09/mario-tennis-power-tour,2005-12-09T21:00:00.000Z,Craig Harris
Dr. Mario/Puzzle League,7.8,/articles/2005/11/28/dr-mariopuzzle-league,2005-11-28T23:22:00.000Z,Craig Harris
Harry Potter and the Goblet of Fire Review [GBA],7.4,/articles/2005/11/23/harry-potter-and-the-goblet-of-fire-review-gba,2005-11-23T06:28:23.000Z,Mark Bozon
Teen Titans,5.5,/articles/2005/11/17/teen-titans-2,2005-11-17T22:52:00.000Z,Mark Bozon
Donkey Kong Country 3,7.5,/articles/2005/11/08/donkey-kong-country-3,2005-11-08T21:50:00.000Z,Craig Harris
The Nightmare Before Christmas: The Pumpkin King,6.5,/articles/2005/11/01/the-nightmare-before-christmas-the-pumpkin-king,2005-11-01T01:30:00.000Z,Craig Harris
World Poker Tour,7.0,/articles/2005/10/25/world-poker-tour-4,2005-10-25T01:03:00.000Z,Ivan Sulic
DK: King of Swing,7.8,/articles/2005/09/17/dk-king-of-swing,2005-09-17T00:57:00.000Z,Craig Harris
Marble Madness/Klax,4.5,/articles/2005/09/14/marble-madnessklax,2005-09-14T19:33:00.000Z,Craig Harris
Gauntlet/Rampart,4.0,/articles/2005/09/14/gauntletrampart,2005-09-14T19:33:00.000Z,Craig Harris
Rebelstar Tactical Command,7.7,/articles/2005/09/09/rebelstar-tactical-command,2005-09-09T00:24:00.000Z,Tal Blevins
Dynasty Warrior Advance,4.0,/articles/2005/08/29/dynasty-warrior-advance,2005-08-29T20:59:00.000Z,Craig Harris
Dynasty Warrior Advance,4.0,/articles/2005/08/29/dynasty-warrior-advance,2005-08-29T20:59:00.000Z,Craig Harris
Paperboy/Rampage,4.0,/articles/2005/08/24/paperboyrampage,2005-08-24T23:28:00.000Z,Craig Harris
Harvest Moon: More Friends of Mineral Town,8.5,/articles/2005/08/16/harvest-moon-more-friends-of-mineral-town,2005-08-16T00:10:00.000Z,Craig Harris
Madden NFL 06,7.8,/articles/2005/08/12/madden-nfl-06-6,2005-08-12T23:42:00.000Z,Craig Harris
Shaman King: Master of Spirits 2,8.0,/articles/2005/08/05/shaman-king-master-of-spirits-2,2005-08-05T23:40:00.000Z,Craig Harris
Fantastic 4,5.0,/articles/2005/07/18/fantastic-4,2005-07-18T23:40:00.000Z,Craig Harris
Mega Man Battle Network 5: Team Protoman,6.5,/articles/2005/06/27/mega-man-battle-network-5-team-protoman,2005-06-27T23:14:00.000Z,Craig Harris
Mega Man Battle Network 5: Team Protoman,6.5,/articles/2005/06/27/mega-man-battle-network-5-team-protoman,2005-06-27T23:14:00.000Z,Craig Harris
