title,score,url,date,author
Silent Hill: Ascension Mid-Season Review,5.0,/articles/silent-hill-ascension-mid-season-review,2023-12-20T21:34:15.790Z,Vikki Blake
Resident Evil 4 Remake VR Review,8.0,/articles/resident-evil-4-remake-vr-review,2023-12-15T23:43:41.387Z,Travis Northup
Sonic Dream Team Review,8.0,/articles/sonic-dream-team-review,2023-12-09T01:23:33.317Z,Chris Reed
The Arkham Asylum Files: Panic in Gotham City Board Game Review,8.0,/articles/the-arkham-asylum-files-panic-in-gotham-city-board-game-review,2023-10-31T18:45:40.414Z,Matthew Adler
Sid Meier's Civilization VI for iPad Review,9.1,/articles/2017/12/29/sid-meiers-civilization-vi-for-ipad-review,2017-12-29T03:15:28.000Z,Leif Johnson
The Elder Scrolls: Legends Review,8.3,/articles/2017/03/20/the-elder-scrolls-legends-review,2017-03-20T06:43:38.000Z,Cam Shea
Star Wars: Uprising Review,5.5,/articles/2015/09/18/star-wars-uprising-review,2015-09-18T16:00:51.000Z,Brandin Tyrrel
Sid Meier's Starships Review,6.5,/articles/2015/03/14/sid-meiers-starships-review,2015-03-14T00:58:05.000Z,Dan Stapleton
The Witcher Adventure Game Review,6.9,/articles/2014/12/18/the-witcher-adventure-game-review,2014-12-18T01:21:38.000Z,Chuck Osborn
Fates Forever Review,7.5,/articles/2014/08/05/fates-forever-review,2014-08-05T22:51:07.000Z,Mitch Dyer
Fates Forever Review,7.5,/articles/2014/08/05/fates-forever-review,2014-08-05T22:51:07.000Z,Mitch Dyer
FTL: Advanced Edition Review,9.6,/articles/2014/04/25/ftl-advanced-edition-review,2014-04-25T23:29:52.000Z,Dan Stapleton
Hearthstone: Heroes of Warcraft Review,9.0,/articles/2014/03/13/hearthstone-heroes-of-warcraft-review,2014-03-13T22:34:57.000Z,Justin Davis
The Room Two Review,8.6,/articles/2013/12/19/the-room-two-review,2013-12-19T23:36:18.000Z,Steve Watts
The Wolf Among Us Episode 1: Faith Review,9.0,/articles/2013/10/10/the-wolf-among-us-episode-1-faith-review,2013-10-10T19:00:49.000Z,Marty Sliva
Man of Steel Review,6.0,/articles/2013/07/11/man-of-steel-review-3,2013-07-11T23:30:42.000Z,Steve Watts
Star Wars: Knights of the Old Republic iPad Review,8.8,/articles/2013/05/30/star-wars-knights-of-the-old-republic-ipad-review,2013-05-30T06:59:43.000Z,Steve Watts
Baldur's Gate: Enhanced Edition Review (iPad),6.0,/articles/2012/12/13/baldurs-gate-enhanced-edition-review-ipad,2012-12-13T23:20:58.000Z,Leif Johnson
The Walking Dead: The Game Review,9.3,/articles/2012/12/12/the-walking-dead-the-game-review,2012-12-12T23:05:33.000Z,Greg Miller
Little Inferno Review,5.0,/articles/2012/11/27/little-inferno-pc-review,2012-11-27T01:30:11.000Z,Anthony Gallegos
The Walking Dead: The Game – Episode 5: No Time Left Review,9.5,/articles/2012/11/19/the-walking-dead-the-game-episode-5-no-time-left-review,2012-11-19T23:00:49.000Z,Greg Miller
FIFA Soccer 13 Vita Review,4.0,/articles/2012/10/12/fifa-soccer-13-vita-review,2012-10-12T16:12:36.000Z,Daniel Krupa
The Walking Dead: The Game -- Episode 4: Around Every Corner Review,7.5,/articles/2012/10/09/the-walking-dead-the-game-episode-4-around-every-corner-review,2012-10-09T21:15:10.000Z,Greg Miller
Splice: Tree of Life Review,8.5,/articles/2012/09/12/splice-tree-of-life-review,2012-09-12T23:12:12.000Z,Cody Musser
The World Ends with You: Solo Remix Review,9.5,/articles/2012/08/27/the-world-ends-with-you-solo-remix-review,2012-08-27T19:19:36.000Z,Cody Musser
The Walking Dead: The Game -- Episode 2: Starved for Help Review,8.5,/articles/2012/06/27/the-walking-dead-the-game-episode-2-starved-for-help-review,2012-06-27T17:44:37.000Z,Greg Miller
Magic: the Gathering - Duels of the Planeswalkers 2013 Review,8.5,/articles/2012/06/26/magic-the-gathering-duels-of-the-planewalkers-2013-review,2012-06-26T00:41:09.000Z,Leif Johnson
Magic: the Gathering - Duels of the Planeswalkers 2013 Review,8.5,/articles/2012/06/26/magic-the-gathering-duels-of-the-planewalkers-2013-review,2012-06-26T00:41:09.000Z,Leif Johnson
The Walking Dead: The Game - Episode 1 Review,8.5,/articles/2012/04/24/the-walking-dead-the-game-episode-1-review,2012-04-24T17:56:00.000Z,Greg Miller
The Walking Dead: The Game - Episode 1 Review,8.5,/articles/2012/04/24/the-walking-dead-the-game-episode-1-review,2012-04-24T17:56:00.000Z,Greg Miller
Angry Birds Space Review,8.5,/articles/2012/03/23/angry-birds-space-review,2012-03-23T23:53:00.000Z,Justin Davis
Kingdom Rush Review,9.0,/articles/2012/01/31/kingdom-rush-review,2012-01-31T18:58:00.000Z,Justin Davis
Hollywood Squares Review,4.0,/articles/2011/11/17/hollywood-squares-review,2011-11-17T01:23:00.000Z,Colin Moriarty
