title,score,url,date,author
High Seize,8.0,/articles/2006/01/18/high-seize,2006-01-18T22:37:00.000Z,Levi Buchanan
One,8.0,/articles/2005/11/28/one,2005-11-28T20:27:00.000Z,Levi Buchanan
System Rush,8.2,/articles/2005/11/22/system-rush,2005-11-22T23:45:00.000Z,Levi Buchanan
Glimmerati,8.1,/articles/2005/10/28/glimmerati,2005-10-28T23:31:00.000Z,Levi Buchanan
Snakes,8.7,/articles/2005/02/19/snakes,2005-02-19T08:29:00.000Z,Levi Buchanan
King of Fighters Extreme,7.2,/articles/2005/02/06/king-of-fighters-extreme,2005-02-06T01:53:00.000Z,Levi Buchanan
Bomberman,6.0,/articles/2004/08/19/bomberman-2,2004-08-19T07:26:00.000Z,Levi Buchanan
The Sims Bustin' Out Review,7.0,/articles/2004/08/13/the-sims-bustin-out-review,2004-08-13T23:01:00.000Z,Tyrone Rodriguez
Spider-Man 2 Review,7.1,/articles/2004/08/03/spider-man-2-review,2004-08-03T02:23:00.000Z,Levi Buchanan
Crash Nitro Kart,8.2,/articles/2004/07/31/crash-nitro-kart-9,2004-07-31T01:51:00.000Z,Levi Buchanan
Crash Nitro Kart,8.2,/articles/2004/07/31/crash-nitro-kart-9,2004-07-31T01:51:00.000Z,Levi Buchanan
Ashen,7.5,/articles/2004/07/27/ashen,2004-07-27T01:45:00.000Z,Levi Buchanan
NCAA Football 2004 Review,5.6,/articles/2004/03/24/ncaa-football-2004-review-2,2004-03-24T00:25:00.000Z,Chadd Chambers
Splinter Cell Review,7.0,/articles/2004/01/10/splinter-cell-review-3,2004-01-10T03:09:00.000Z,Chadd Chambers
Rayman 3 Review,8.5,/articles/2004/01/07/rayman-3-review-2,2004-01-07T04:17:00.000Z,Chadd Chambers
Red Faction Review,7.3,/articles/2003/12/18/red-faction-review,2003-12-18T19:41:00.000Z,Chadd Chambers
MotoGP Review,3.0,/articles/2003/12/18/motogp-review-3,2003-12-18T19:03:00.000Z,Chadd Chambers
MLB Slam!,3.3,/articles/2003/12/10/mlb-slam,2003-12-10T21:14:00.000Z,Chadd Chambers
Virtua Tennis Review,3.5,/articles/2003/10/18/virtua-tennis-review,2003-10-18T01:14:00.000Z,IGN Staff
Tony Hawk's Pro Skater Review,8.8,/articles/2003/10/16/tony-hawks-pro-skater-review,2003-10-16T23:28:00.000Z,Chadd Chambers
Super Monkey Ball,6.6,/articles/2003/10/09/super-monkey-ball,2003-10-09T00:18:00.000Z,Peer Schneider
Sonic N Review,6.0,/articles/2003/10/08/sonic-n-review,2003-10-08T22:33:00.000Z,Chadd Chambers
Puyo Pop,5.0,/articles/2003/10/08/puyo-pop,2003-10-08T20:58:00.000Z,Peer Schneider
Pandemonium Review,6.6,/articles/2003/10/07/pandemonium-review-2,2003-10-07T22:53:00.000Z,Chadd Chambers
Tomb Raider Review,7.0,/articles/2003/10/04/tomb-raider-review,2003-10-04T01:07:00.000Z,Chadd Chambers
Tomb Raider Review,7.0,/articles/2003/10/04/tomb-raider-review,2003-10-04T01:07:00.000Z,Chadd Chambers
