title,score,url,date,author
Shin Megami Tensei: Devil Summoner: Soul Hackers Review,7.8,/articles/2013/04/16/shin-megami-tensei-devil-summoner-soul-hackers-review,2013-04-16T13:00:38.000Z,Jeremy Parish
Space Invaders: The Original Game Review,4.0,/articles/2008/11/18/space-invaders-the-original-game-review,2008-11-18T00:55:00.000Z,Lucas M. Thomas
Super Bubble Pop,2.8,/articles/2003/01/17/super-bubble-pop-3,2003-01-17T08:00:00.000Z,Kaiser Hwang
Beyblade,1.5,/articles/2002/12/20/beyblade,2002-12-20T08:00:00.000Z,Chris Roper
Treasure Planet,3.5,/articles/2002/11/15/treasure-planet,2002-11-15T08:00:00.000Z,Chris Roper
Creatures Review,2.6,/articles/2002/09/23/creatures-review,2002-09-23T07:00:00.000Z,Chris Roper
Tiny Toon Adventures -- Plucky's Big Adventure Review,2.3,/articles/2002/09/20/tiny-toon-adventures-pluckys-big-adventure-review,2002-09-20T07:00:00.000Z,Chris Roper
Capcom vs. SNK: Millennium Fight 2000 Pro,8.2,/articles/2002/08/07/capcom-vs-snk-millennium-fight-2000-pro,2002-08-07T07:00:00.000Z,Jeremy Dunham
C-12: Final Resistance,6.8,/articles/2002/08/01/c-12-final-resistance,2002-08-01T07:00:00.000Z,Ben Wiley
Stuart Little 2,7.0,/articles/2002/07/30/stuart-little-2-3,2002-07-30T07:00:00.000Z,Nix
Stuart Little 2,7.0,/articles/2002/07/30/stuart-little-2-3,2002-07-30T07:00:00.000Z,Nix
Disney's Lilo & Stitch,5.0,/articles/2002/06/19/disneys-lilo-stitch,2002-06-19T07:00:00.000Z,Gil Landi
The Italian Job,7.5,/articles/2002/06/18/the-italian-job-4,2002-06-18T07:00:00.000Z,Nix
Dance Dance Revolution Konamix,9.5,/articles/2002/05/07/dance-dance-revolution-konamix,2002-05-07T07:00:00.000Z,David Smith
Arc The Lad Collection,8.8,/articles/2002/05/06/arc-the-lad-collection,2002-05-06T07:00:00.000Z,David Smith
Hoshigami: Ruining Blue Earth,4.0,/articles/2002/01/23/hoshigami-ruining-blue-earth,2002-01-23T00:30:00.000Z,Akira Mark Fujita
Mega Man X6,8.0,/articles/2002/01/03/mega-man-x6,2002-01-03T00:30:00.000Z,David Zdyrko
Hot Wheels Extreme Racing,5.0,/articles/2001/12/04/hot-wheels-extreme-racing,2001-12-04T00:30:00.000Z,Hilary Goldstein
Power Puff Girls: Chemical X-traction,2.0,/articles/2001/11/30/power-puff-girls-chemical-x-traction,2001-11-30T00:30:00.000Z,Mark Fujita
Twisted Metal: Small Brawl,4.5,/articles/2001/11/29/twisted-metal-small-brawl,2001-11-29T00:30:00.000Z,Mark Fujita
Dragon Warrior VII,8.7,/articles/2001/11/28/dragon-warrior-vii,2001-11-28T00:30:00.000Z,IGN Staff
Syphon Filter 3,7.5,/articles/2001/11/28/syphon-filter-3,2001-11-28T00:30:00.000Z,Mark Fujita
