title,score,url,date,author
GTA: San Andreas HD Review,7.8,/articles/2014/10/31/gta-san-andreas-hd-review,2014-10-31T21:55:10.000Z,Dave Rudden
Beastie Boys: Hot Sauce Committee Part 2 Review,8.5,/articles/2011/04/29/beastie-boys-hot-sauce-committee-part-2-review,2011-04-29T22:32:00.000Z,Chad Grischow
WWE SmackDown vs. Raw 2011 Review,8.0,/articles/2010/10/27/wwe-smackdown-vs-raw-2011-review-2,2010-10-27T21:20:00.000Z,Greg Miller
God of War: Ghost of Sparta Review,9.5,/articles/2010/10/25/god-of-war-ghost-of-sparta-review,2010-10-25T16:00:00.000Z,Nicole Tanner
The Lord of the Rings: Aragorn's Quest Review,5.0,/articles/2010/09/21/the-lord-of-the-rings-aragorns-quest-review,2010-09-21T17:35:00.000Z,Craig Harris
"Sakura Wars: So Long, My Love Review",9.0,/articles/2010/03/31/sakura-wars-so-long-my-love-review-2,2010-03-31T00:59:00.000Z,Sam Bishop
Major League Baseball 2K10 Review,5.5,/articles/2010/03/19/major-league-baseball-2k10-review,2010-03-19T16:17:00.000Z,Nate Ahearn
Silent Hill: Shattered Memories Review,8.0,/articles/2010/02/02/silent-hill-shattered-memories-review-2,2010-02-02T00:46:00.000Z,Matt Casamassina
Guitar Hero Van Halen Review,4.9,/articles/2010/01/15/guitar-hero-van-halen-review-2,2010-01-15T22:51:00.000Z,Erik Brudvig
NHL 2K10 Review,6.0,/articles/2009/12/15/nhl-2k10-review,2009-12-15T23:01:00.000Z,Nate Ahearn
NHL 2K10 Review,6.0,/articles/2009/12/15/nhl-2k10-review,2009-12-15T23:01:00.000Z,Nate Ahearn
Pro Evolution Soccer 2010 Review,7.2,/articles/2009/12/12/pro-evolution-soccer-2010-review,2009-12-12T01:16:00.000Z,Nate Ahearn
Guitar Hero 5 Review,4.5,/articles/2009/11/18/guitar-hero-5-review,2009-11-18T01:02:00.000Z,Mark Bozon
Ben 10 Alien Force: Vilgax Attacks Review,7.0,/articles/2009/11/17/ben-10-alien-force-vilgax-attacks-review,2009-11-17T00:42:00.000Z,Jeff Haynes
Jurassic The Hunted Review [PS2/Wii],6.0,/articles/2009/11/13/jurassic-the-hunted-review-ps2,2009-11-13T18:33:10.000Z,Jeff Haynes
Jak and Daxter: The Lost Frontier Review,7.4,/articles/2009/11/06/jak-and-daxter-the-lost-frontier-review,2009-11-06T01:11:00.000Z,Greg Miller
Band Hero (Band Kit) Review,5.0,/articles/2009/11/04/band-hero-band-kit-review,2009-11-04T00:42:00.000Z,Greg Miller
Band Hero Review,5.0,/articles/2009/11/04/band-hero-review,2009-11-04T00:03:00.000Z,Greg Miller
FIFA 10 Review,6.4,/articles/2009/11/03/fifa-10-review,2009-11-03T23:40:00.000Z,Nate Ahearn
Disney Sing It: Pop Hits Review,6.8,/articles/2009/10/23/disney-sing-it-pop-hits-review,2009-10-23T22:47:00.000Z,Greg Miller
Bakugan: Battle Brawlers Review,5.8,/articles/2009/10/23/bakugan-battle-brawlers-review,2009-10-23T22:06:00.000Z,Chris Roper
MotorStorm: Arctic Edge Review,8.0,/articles/2009/10/22/motorstorm-arctic-edge-review,2009-10-22T21:53:00.000Z,Sam Bishop
Cars: Race-O-Rama Review,5.0,/articles/2009/10/21/cars-race-o-rama-review,2009-10-21T20:28:00.000Z,Sam Bishop
Marvel Super Hero Squad Wii Review,5.8,/articles/2009/10/20/marvel-super-hero-squad-wii-review,2009-10-20T21:53:00.000Z,Mark Bozon
WWE SmackDown vs. Raw 2010 Review,8.0,/articles/2009/10/16/wwe-smackdown-vs-raw-2010-review,2009-10-16T20:05:00.000Z,Greg Miller
Cabela's Outdoor Adventures Review,7.0,/articles/2009/10/13/cabelas-outdoor-adventures-review,2009-10-13T17:23:00.000Z,Lucas M. Thomas
NBA 2K10 Review,6.5,/articles/2009/10/12/nba-2k10-review-4,2009-10-12T22:30:00.000Z,Jeff Haynes
Brutal Legend AU Review,9.3,/articles/2009/10/12/brutal-legend-au-review,2009-10-12T07:01:00.000Z,Patrick Kolan
Star Wars: The Clone Wars -- Republic Heroes Review,4.8,/articles/2009/10/06/star-wars-the-clone-wars-republic-heroes-review,2009-10-06T17:53:00.000Z,Chris Roper
Star Wars: The Clone Wars -- Republic Heroes Review,4.8,/articles/2009/10/06/star-wars-the-clone-wars-republic-heroes-review,2009-10-06T17:53:00.000Z,Chris Roper
Scooby Doo! First Frights Review,5.0,/articles/2009/09/28/scooby-doo-first-frights-review,2009-09-28T23:06:00.000Z,Jack DeVries
Mana Khemia 2: Fall of Alchemy Review,8.0,/articles/2009/09/04/mana-khemia-2-fall-of-alchemy-review,2009-09-04T22:37:00.000Z,Sam Bishop
The Bigs 2 Review,5.8,/articles/2009/09/02/the-bigs-2-review-2,2009-09-02T22:38:00.000Z,Nate ahearn
Rock Band Country Track Pack Review,5.0,/articles/2009/08/21/rock-band-country-track-pack-review,2009-08-21T18:03:00.000Z,Mark Bozon
Devil May Cry - The Complete Series Blu-ray Review,6.0,/articles/2009/08/21/devil-may-cry-the-complete-series-blu-ray-review,2009-08-21T17:12:00.000Z,Cindy White
Madden NFL 10 Review,7.3,/articles/2009/08/14/madden-nfl-10-review,2009-08-14T22:12:00.000Z,Nate Ahearn
G.I. Joe: The Rise of Cobra Game Review,5.8,/articles/2009/08/04/gi-joe-the-rise-of-cobra-game-review-2,2009-08-04T22:31:00.000Z,Hilary Goldstein
NCAA Football 10 Review,7.8,/articles/2009/08/03/ncaa-football-10-review,2009-08-03T22:54:00.000Z,Nate Ahearn
G-Force Review,7.3,/articles/2009/07/30/g-force-review,2009-07-30T17:07:00.000Z,Greg Miller
PDC World Championship Darts Review,1.0,/articles/2009/07/17/pdc-world-championship-darts-review-3,2009-07-17T22:37:00.000Z,Chris Roper
Heracles Chariot Racing Review,6.5,/articles/2009/07/10/heracles-chariot-racing-review,2009-07-10T23:55:00.000Z,Lucas M. Thomas
Ice Age: Dawn of the Dinosaurs Review,6.5,/articles/2009/07/08/ice-age-dawn-of-the-dinosaurs-review,2009-07-08T16:10:00.000Z,Greg Miller
Transformers: Revenge of the Fallen Review,4.2,/articles/2009/06/25/transformers-revenge-of-the-fallen-review-2,2009-06-25T00:19:00.000Z,Chris Roper
Up Review,5.8,/articles/2009/06/24/up-review-2,2009-06-24T21:57:00.000Z,David Clayman
Tiger Woods PGA Tour 10 Review,5.0,/articles/2009/06/19/tiger-woods-pga-tour-10-review,2009-06-19T23:42:00.000Z,Nate Ahearn
Secret Agent Clank Review,6.0,/articles/2009/06/19/secret-agent-clank-review,2009-06-19T21:26:00.000Z,Greg Miller
Rock Band Track Pack: Classic Rock Review,5.0,/articles/2009/06/19/rock-band-track-pack-classic-rock-review,2009-06-19T16:56:00.000Z,Mark Bozon
Guitar Hero: Smash Hits Review,6.3,/articles/2009/06/18/guitar-hero-smash-hits-review,2009-06-18T18:25:00.000Z,Chris Roper
Ghostbusters: The Video Game Review,7.1,/articles/2009/06/16/ghostbusters-the-video-game-review-2,2009-06-16T21:59:00.000Z,Greg Miller
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon Review,7.5,/articles/2009/05/19/shin-megami-tensei-devil-summoner-2-raidou-kuzunoha-vs-king-abaddon-review,2009-05-19T21:25:00.000Z,Ryan Clements
X-Men Origins: Wolverine Review,4.5,/articles/2009/05/04/x-men-origins-wolverine-review-3,2009-05-04T22:08:00.000Z,Greg Miller
Dynasty Warriors: Gundam 2 Review,4.9,/articles/2009/04/24/dynasty-warriors-gundam-2-review-2,2009-04-24T23:59:00.000Z,Ryan Clements
Guilty Gear XX Accent Core Plus Review,7.8,/articles/2009/04/17/guilty-gear-xx-accent-core-plus-review-3,2009-04-17T21:12:00.000Z,Ryan Clements
Guitar Hero: Metallica Review,8.5,/articles/2009/04/14/guitar-hero-metallica-review,2009-04-14T23:20:00.000Z,Chris Roper
Monsters vs. Aliens Review,5.0,/articles/2009/04/03/monsters-vs-aliens-review-5,2009-04-03T22:22:00.000Z,Sam Bishop
Samurai Shodown Anthology Review,7.1,/articles/2009/04/02/samurai-shodown-anthology-review-3,2009-04-02T16:30:00.000Z,Ryan Clements
Ultimate Ninja 4: Naruto Shippuden Review,7.0,/articles/2009/03/27/ultimate-ninja-4-naruto-shippuden-review,2009-03-27T22:37:00.000Z,Ryan Clements
Major League Baseball 2K9 Review,7.0,/articles/2009/03/17/major-league-baseball-2k9-review,2009-03-17T19:02:00.000Z,Nate Ahearn
Trivial Pursuit Review,7.8,/articles/2009/03/13/trivial-pursuit-review,2009-03-13T20:59:00.000Z,Chris Roper
"WCG Ultimate Gamer: ""Are You Ready to Rock?"" Review",6.0,/articles/2009/03/11/wcg-ultimate-gamer-are-you-ready-to-rock-review,2009-03-11T15:58:00.000Z,Ramsey Isler
Tomb Raider Underworld Review,4.0,/articles/2009/03/10/tomb-raider-underworld-review-7,2009-03-10T21:43:00.000Z,Jeff Haynes
MLB 09: The Show Review,7.3,/articles/2009/03/07/mlb-09-the-show-review-2,2009-03-07T02:23:00.000Z,Jeff Haynes
The King of Fighters '98 Ultimate Match Review,7.8,/articles/2009/03/06/the-king-of-fighters-98-ultimate-match-review-2,2009-03-06T23:36:00.000Z,Ryan Clements
Disney Sing It: High School Musical 3: Senior Year Review,6.8,/articles/2009/03/06/disney-sing-it-high-school-musical-3-senior-year-review-2,2009-03-06T01:27:00.000Z,Greg Miller
Disney Sing It: High School Musical 3: Senior Year Review,6.8,/articles/2009/03/06/disney-sing-it-high-school-musical-3-senior-year-review-3,2009-03-06T00:58:00.000Z,Greg Miller
"The Big Bang Theory: ""The Maternal Capacitance"" Review",8.2,/articles/2009/02/10/the-big-bang-theory-the-maternal-capacitance-review,2009-02-10T21:45:00.000Z,James Chamberlin
"The Big Bang Theory: ""The Maternal Capacitance"" Review",8.2,/articles/2009/02/10/the-big-bang-theory-the-maternal-capacitance-review,2009-02-10T21:45:00.000Z,James Chamberlin
"The Big Bang Theory: ""The Maternal Capacitance"" Review",8.2,/articles/2009/02/10/the-big-bang-theory-the-maternal-capacitance-review,2009-02-10T21:45:00.000Z,James Chamberlin
Bratz: Girlz Really Rock! Review,5.0,/articles/2009/02/06/bratz-girlz-really-rock-review,2009-02-06T00:55:00.000Z,Lucas M. Thomas
Nobunaga's Ambition: Iron Triangle,8.0,/articles/2009/02/05/nobunagas-ambition-iron-triangle,2009-02-05T21:56:00.000Z,Sam Bishop
Coraline Review,2.5,/articles/2009/01/29/coraline-review-2,2009-01-29T22:44:00.000Z,Matt Casamassina
Ar Tonelico II: Melody of Metafalica Review,8.4,/articles/2009/01/29/ar-tonelico-ii-melody-of-metafalica-review,2009-01-29T01:35:00.000Z,Sam Bishop
Rock Band 2 Review,7.9,/articles/2009/01/27/rock-band-2-review-3,2009-01-27T21:51:00.000Z,Daemon Hatfield
Max Payne DVD Review,7.0,/articles/2009/01/26/max-payne-dvd-review,2009-01-26T22:06:00.000Z,Cindy White
PBR: Out of the Chute Review [PS2/PC],3.5,/articles/2009/01/21/pbr-out-of-the-chute-review,2009-01-21T00:21:00.000Z,Avi Burk
NCAA Basketball 09 Review,5.1,/articles/2009/01/16/ncaa-basketball-09-review-2,2009-01-16T02:00:00.000Z,Avi Burk
Monster Jam: Urban Assault Review,5.5,/articles/2008/12/31/monster-jam-urban-assault-review,2008-12-31T22:58:00.000Z,Jimmy Thang
Barbie Horse Adventures: Riding Camp Review,6.2,/articles/2008/12/31/barbie-horse-adventures-riding-camp-review,2008-12-31T21:53:00.000Z,Jimmy Thang
The Tale of Despereaux Review,1.9,/articles/2008/12/23/the-tale-of-despereaux-review,2008-12-23T21:17:00.000Z,Ryan Clements
PopStar Guitar Review,4.0,/articles/2008/12/19/popstar-guitar-review,2008-12-19T01:17:00.000Z,Daemon Hatfield
Eternal Poison Review,3.5,/articles/2008/12/18/eternal-poison-review,2008-12-18T02:22:00.000Z,Ryan Clements
Shaun White Snowboarding Review,6.4,/articles/2008/12/11/shaun-white-snowboarding-review,2008-12-11T21:23:00.000Z,Daemon Hatfield
Pro Evolution Soccer 2009 Review,7.0,/articles/2008/12/10/pro-evolution-soccer-2009-review,2008-12-10T19:01:00.000Z,Nate Ahearn
Shin Megami Tensei: Persona 4 Review,9.0,/articles/2008/12/10/shin-megami-tensei-persona-4-review,2008-12-10T00:02:00.000Z,Jeff Haynes
Secret Service Review,4.5,/articles/2008/12/08/secret-service-review,2008-12-08T19:03:00.000Z,Charles Onyett
The Legend of Spyro: Dawn of the Dragon Review,7.0,/articles/2008/12/06/the-legend-of-spyro-dawn-of-the-dragon-review,2008-12-06T02:09:00.000Z,Matt Casamassina
Monopoly Review,7.0,/articles/2008/12/06/monopoly-review-3,2008-12-06T00:55:00.000Z,Lucas M. Thomas
Tak and the Guardians of the Gross PS2 Review,6.6,/articles/2008/12/05/tak-and-the-guardians-of-the-gross-ps2-review,2008-12-05T01:40:00.000Z,Joshua Clark
Hasbro Family Game Night Review,7.0,/articles/2008/12/04/hasbro-family-game-night-review-4,2008-12-04T00:55:00.000Z,Lucas M. Thomas
Winter Sports 2 Review,4.0,/articles/2008/12/03/winter-sports-2-review-2,2008-12-03T01:14:00.000Z,Jeff Haynes
Kingdom Hearts Re: Chain of Memories Review,8.4,/articles/2008/12/01/kingdom-hearts-re-chain-of-memories-review,2008-12-01T19:00:00.000Z,Ryan Clements
Army Men: Soldiers of Misfortune Review,2.5,/articles/2008/11/26/army-men-soldiers-of-misfortune-review,2008-11-26T00:33:00.000Z,Greg Miller
SingStar ABBA Review,5.5,/articles/2008/11/25/singstar-abba-review,2008-11-25T18:21:00.000Z,Greg Miller
History -- Civil War: Secret Missions Review,5.0,/articles/2008/11/25/history-civil-war-secret-missions-review,2008-11-25T00:37:00.000Z,Jeff Haynes
Bolt Review,5.1,/articles/2008/11/24/bolt-review-3,2008-11-24T21:57:00.000Z,Ryan Clements
Need for Speed Undercover Review,4.8,/articles/2008/11/20/need-for-speed-undercover-review-3,2008-11-20T01:22:00.000Z,Chris Roper
Sonic Unleashed Review,7.0,/articles/2008/11/19/sonic-unleashed-review-3,2008-11-19T00:43:00.000Z,Matt Casamassina
Call of Duty: World at War -- Final Fronts Review,4.5,/articles/2008/11/18/call-of-duty-world-at-war-final-fronts-review,2008-11-18T23:00:00.000Z,Sam Bishop
Dragon Ball Z: Infinite World Review,3.5,/articles/2008/11/18/dragon-ball-z-infinite-world-review,2008-11-18T21:34:00.000Z,Greg Miller
Cake Mania: Baker's Challenge Review,7.0,/articles/2008/11/18/cake-mania-bakers-challenge-review,2008-11-18T20:30:00.000Z,Sam Bishop
Dynasty Warriors 6 Review,3.5,/articles/2008/11/17/dynasty-warriors-6-review-2,2008-11-17T23:29:00.000Z,Ryan Clements
Madagascar: Escape 2 Africa Review,4.5,/articles/2008/11/15/madagascar-escape-2-africa-review-4,2008-11-15T01:33:00.000Z,Ryan Clements
Rock University Presents The Naked Brothers Band: The Video Game Review,2.0,/articles/2008/11/14/rock-university-presents-the-naked-brothers-band-the-video-game-review-2,2008-11-14T03:27:00.000Z,Jack DeVries
NBA 2K9 Review,7.0,/articles/2008/11/13/nba-2k9-review-2,2008-11-13T00:31:00.000Z,Nate Ahearn
"Go, Diego, Go! Great Dinosaur Rescue Review",3.5,/articles/2008/11/12/go-diego-go-great-dinosaur-rescue-review-3,2008-11-12T23:07:00.000Z,Chris Roper
Dora the Explorer: Dora Saves the Snow Princess Review,3.5,/articles/2008/11/12/dora-the-explorer-dora-saves-the-snow-princess-review,2008-11-12T21:11:00.000Z,IGN Staff
Quantum of Solace Game Review,7.8,/articles/2008/11/11/quantum-of-solace-review-2,2008-11-11T23:25:00.000Z,Nate Ahearn
The King of Fighters Collection: The Orochi Saga Review,7.8,/articles/2008/11/11/the-king-of-fighters-collection-the-orochi-saga-review,2008-11-11T21:53:00.000Z,Ryan Clements
