title,score,url,date,author
Shovel Knight: Treasure Trove Review,9.0,/articles/2017/03/07/shovel-knight-treasure-trove-review,2017-03-07T03:09:19.000Z,Mike Rougeau
LEGO Star Wars: The Force Awakens Review,9.0,/articles/2016/06/29/lego-star-wars-the-force-awakens-review,2016-06-29T00:43:15.000Z,Marty Sliva
Teenage Mutant Ninja Turtles: Mutants in Manhattan Review,4.9,/articles/2016/05/26/teenage-mutant-ninja-turtles-mutants-in-manhattan-review,2016-05-26T20:35:51.000Z,Dave Rudden
Valkyria Chronicles Remastered Review ,9.0,/articles/2016/05/10/valkyria-chronicles-remastered-review,2016-05-10T23:57:43.000Z,Zachary Ryan 
The Walking Dead: Michonne - Episode 3 Review,6.3,/articles/2016/04/27/the-walking-dead-michonne-episode-3-review,2016-04-27T00:55:09.000Z,Kallie Plagge
MLB The Show 16 Review,9.3,/articles/2016/04/01/mlb-the-show-16-review,2016-04-01T01:30:16.000Z,Mike Mitchell
The Walking Dead: Michonne - Episode 2 Review,7.2,/articles/2016/04/01/the-walking-dead-michonne-episode-2-review,2016-04-01T00:55:07.000Z,Kallie Plagge
The Walking Dead: Michonne - Episode 1 Review,7.0,/articles/2016/02/23/the-walking-dead-michonne-episode-1-review,2016-02-23T08:01:26.000Z,Kallie Plagge
LEGO Marvel's Avengers Review,6.7,/articles/2016/01/28/lego-marvels-avengers-review,2016-01-28T00:52:46.000Z,Alanah Pearce
Minecraft: Story Mode Episode 4 - A Block and a Hard Place Review,6.3,/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review,2016-01-14T23:57:29.000Z,Justin Davis
Minecraft: Story Mode Episode 4 - A Block and a Hard Place Review,6.3,/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review,2016-01-14T23:57:29.000Z,Justin Davis
King's Quest -- Episode 2: Rubble Without a Cause Review,6.7,/articles/2016/01/07/kings-quest-episode-2-rubble-without-a-cause-review,2016-01-07T19:17:49.000Z,Leif Johnson
Minecraft: Story Mode Episode 3 - The Last Place You Look Review,7.7,/articles/2015/11/25/minecraft-story-mode-episode-3-the-last-place-you-look-review,2015-11-25T18:47:22.000Z,Justin Davis
Call of Duty: Black Ops 3 Xbox 360 and PS3 Review,7.0,/articles/2015/11/12/call-of-duty-black-ops-3-xbox-360-and-ps3-review,2015-11-12T23:30:53.000Z,Brian Albert
Guitar Hero Live Review,7.9,/articles/2015/10/25/guitar-hero-live-review,2015-10-25T21:00:53.000Z,Tristan Ogilvie
Tales from the Borderlands Episode 5: The Vault of the Traveler Review,9.0,/articles/2015/10/20/tales-from-the-borderlands-episode-5-the-vault-of-the-traveler-review,2015-10-20T06:59:25.000Z,Marty Sliva
Tony Hawk’s Pro Skater 5 Review,3.5,/articles/2015/10/02/tony-hawks-pro-skater-5-review,2015-10-02T22:20:39.000Z,Marty Sliva
LEGO Dimensions Review,7.7,/articles/2015/09/29/lego-dimensions-review,2015-09-29T21:03:41.000Z,Marty Sliva
One Piece: Pirate Warriors 3 Review,6.9,/articles/2015/09/11/one-piece-pirate-warriors-3-review,2015-09-11T23:26:41.000Z,Kallie Plagge
Helldivers Review,9.0,/articles/2015/03/14/helldivers-review,2015-03-14T00:08:05.000Z,Vince Ingenito
Super Mega Baseball Review,8.1,/articles/2015/01/07/super-mega-baseball-review,2015-01-07T18:47:18.000Z,Mike Mitchell
The Walking Dead: A Telltale Game Series -- Season 2 Review,8.0,/articles/2014/12/31/the-walking-dead-a-telltale-game-series-season-2-review,2014-12-31T22:57:39.000Z,Mitch Dyer
Guilty Gear Xrd -SIGN- Review,8.5,/articles/2014/12/16/guilty-gear-xrd-sign-review,2014-12-16T22:52:34.000Z,Darry Husky
Kingdom Hearts HD 2.5 Remix Review,8.4,/articles/2014/12/08/kingdom-hearts-hd-25-remix-review,2014-12-08T19:37:23.000Z,Marty Sliva
Rugby 15 Review,2.0,/articles/2014/12/04/rugby-15-review,2014-12-04T23:23:23.000Z,Nathan Lawrence
Geometry Wars 3: Dimensions Review,7.9,/articles/2014/12/02/geometry-wars-3-dimensions-review,2014-12-02T17:31:56.000Z,Jose Otero
Escape Dead Island Review,6.8,/articles/2014/11/18/escape-dead-island-review,2014-11-18T05:00:43.000Z,Scott Butterworth
Assassin's Creed Rogue Review,6.8,/articles/2014/11/15/assassins-creed-rogue-review,2014-11-15T17:57:29.000Z,Daniel Krupa
Pro Evolution Soccer 2015 Review,9.0,/articles/2014/11/14/pro-evolution-soccer-2015-review,2014-11-14T16:42:14.000Z,Chris Schilling
Pro Evolution Soccer 2015 Review,9.0,/articles/2014/11/14/pro-evolution-soccer-2015-review,2014-11-14T16:42:14.000Z,Chris Schilling
Far Cry 4 Review,8.5,/articles/2014/11/14/far-cry-4-review,2014-11-14T13:59:02.000Z,Mitch Dyer
Call of Duty: Advanced Warfare Review,9.1,/articles/2014/11/03/call-of-duty-advanced-warfare-review,2014-11-03T08:00:53.000Z,Brian Albert
GTA: San Andreas HD Review,7.8,/articles/2014/10/31/gta-san-andreas-hd-review,2014-10-31T21:55:10.000Z,Dave Rudden
Costume Quest 2 Console Review,7.8,/articles/2014/10/30/costume-quest-2-console-review,2014-10-30T23:37:29.000Z,Dave Rudden
FIFA 15 Xbox 360 and PlayStation 3 Review,6.8,/articles/2014/10/16/fifa-15-xbox-360-and-playstation-3-review,2014-10-16T13:53:06.000Z,Chris Schilling
Borderlands: The Pre-Sequel Review,8.0,/articles/2014/10/13/borderlands-the-pre-sequel-review,2014-10-13T12:00:38.000Z,Vince Ingenito
Fairy Fencer F Review,7.3,/articles/2014/10/04/fairy-fencer-f-review,2014-10-04T00:24:58.000Z,Meghan Sullivan
Persona 4 Arena Ultimax Review,9.1,/articles/2014/09/30/persona-4-arena-ultimax-review,2014-09-30T19:00:12.000Z,Vince Ingenito
Destiny Review,7.8,/articles/2014/09/03/destiny-review,2014-09-03T21:30:10.000Z,Vince Ingenito
BioShock iOS Review,6.7,/articles/2014/08/29/bioshock-ios-review,2014-08-29T22:00:52.000Z,Dave Rudden
The Walking Dead: Season 2 Episode 5 Review,9.5,/articles/2014/08/26/the-walking-dead-season-2-episode-5-review,2014-08-26T17:00:24.000Z,Mitch Dyer
Dark Souls 2: Crown of the Old Iron King Review,8.0,/articles/2014/08/26/dark-souls-2-crown-of-the-old-iron-king-review,2014-08-26T13:00:16.000Z,Jared Petty
CounterSpy Review,7.0,/articles/2014/08/19/counterspy-review,2014-08-19T07:01:53.000Z,Colin Moriarty
Tales of Xillia 2 Review,8.0,/articles/2014/08/15/tales-of-xillia-2-review,2014-08-15T16:00:07.000Z,Colin Moriarty
Hohokum Review,8.8,/articles/2014/08/12/hohokum-review,2014-08-12T23:19:19.000Z,Cam Shea
Abyss Odyssey Review,6.7,/articles/2014/07/24/abyss-odyssey-review,2014-07-24T18:37:55.000Z,Richard Cobbett
One Piece Unlimited World Red Review,7.0,/articles/2014/07/23/one-piece-unlimited-world-red-review,2014-07-23T20:15:35.000Z,Nix
Another World: 20th Anniversary Review,4.0,/articles/2014/07/11/another-world-20th-anniversary-review,2014-07-11T23:47:32.000Z,Colin Moriarty
Dynasty Warriors: Gundam Reborn Review,7.0,/articles/2014/07/11/dynasty-warriors-gundam-reborn-review,2014-07-11T00:00:34.000Z,Jared Petty
Battle Princess of Arcadias,7.6,/articles/2014/06/30/battle-princess-of-arcadias,2014-06-30T22:35:26.000Z,Meghan Sullivan
Battle Princess of Arcadias Review,7.6,/articles/2014/06/28/battle-princess-of-arcadias-review,2014-06-28T00:28:33.000Z,Meghan Sullivan
Transformers: Rise of the Dark Spark Review,4.9,/articles/2014/06/27/transformers-rise-of-the-dark-spark-review,2014-06-27T23:29:35.000Z,Dave Rudden
Shovel Knight Review,9.0,/articles/2014/06/26/shovel-knight-review,2014-06-26T00:00:58.000Z,Colin Moriarty
Valiant Hearts: The Great War Review,7.7,/articles/2014/06/24/valiant-hearts-the-great-war-review,2014-06-24T16:00:18.000Z,Daniel Krupa
Grid Autosport Review,8.3,/articles/2014/06/24/grid-autosport-review,2014-06-24T13:00:12.000Z,Luke Reilly
Tales From Space: Mutant Blobs Attack Review,8.0,/articles/2014/06/23/tales-from-space-mutant-blobs-attack-review-2,2014-06-23T22:11:28.000Z,Leah B. Jackson
Watch Dogs PlayStation 3 Review,7.5,/articles/2014/05/29/watch-dogs-playstation-3-review,2014-05-29T22:02:31.000Z,Dan Stapleton
Drakengard 3 Review,4.8,/articles/2014/05/20/drakengard-3-review,2014-05-20T22:09:44.000Z,Meghan Sullivan
Wolfenstein: The New Order Review,7.8,/articles/2014/05/20/wolfenstein-the-new-order-review,2014-05-20T04:00:53.000Z,Colin Moriarty
Titan Attacks! Review,7.5,/articles/2014/05/12/titan-attacks-review,2014-05-12T23:29:03.000Z,Colin Moriarty
JoJo's Bizarre Adventure: All-Star Battle Review,7.4,/articles/2014/05/05/jojos-bizarre-adventure-all-star-battle-review,2014-05-05T22:21:15.000Z,Vince Ingenito
The Amazing Spider-Man 2 Game Review,5.4,/articles/2014/05/01/the-amazing-spider-man-2-game-review,2014-05-01T03:03:44.000Z,Dave Rudden
Child of Light Review,9.3,/articles/2014/04/29/child-of-light-review,2014-04-29T03:30:01.000Z,Vince Ingenito
2014 FIFA World Cup Brazil Review,7.5,/articles/2014/04/17/2014-fifa-world-cup-brazil-review,2014-04-17T09:29:41.000Z,Chris Schilling
RBI Baseball 14 Review,4.5,/articles/2014/04/15/rbi-baseball-14-review,2014-04-15T18:36:12.000Z,Mike Mitchell
Pure Chess PS4 Review,6.0,/articles/2014/04/15/pure-chess-ps4-review,2014-04-15T07:01:01.000Z,Colin Moriarty
Pure Chess PS4 Review,6.0,/articles/2014/04/15/pure-chess-ps4-review,2014-04-15T07:01:01.000Z,Colin Moriarty
MLB 14: The Show Vita Review,7.1,/articles/2014/04/11/mlb-14-the-show-vita-review,2014-04-11T00:19:06.000Z,Ryan McCaffrey
The Wolf Among Us Episode 3: A Crooked Mile Review,9.2,/articles/2014/04/08/the-wolf-among-us-episode-3-a-crooked-mile-review,2014-04-08T17:00:18.000Z,Marty Sliva
Don Bradman Cricket 14 Review,6.8,/articles/2014/04/07/don-bradman-cricket-14-review,2014-04-07T06:08:34.000Z,Tristan Ogilvie
MLB 14: The Show Review,8.1,/articles/2014/04/04/mlb-14-the-show-review,2014-04-04T22:54:19.000Z,Ryan McCaffrey
Atelier Escha & Logy: Alchemists of the Dust Sky Review,7.0,/articles/2014/03/28/atelier-escha-logy-alchemists-of-the-dust-sky-review,2014-03-28T22:40:16.000Z,Meghan Sullivan
BlazBlue: Chrono Phantasma Review,8.5,/articles/2014/03/27/blazblue-chrono-phantasma-review,2014-03-27T22:03:47.000Z,Darry Huskey
Yaiba: Ninja Gaiden Z Review,5.6,/articles/2014/03/18/yaiba-ninja-gaiden-z-review,2014-03-18T21:18:12.000Z,Scott Butterworth
Master Reboot Review,6.2,/articles/2014/03/18/master-reboot-review,2014-03-18T21:07:56.000Z,Leif Johnson
Metal Gear Solid 5: Ground Zeroes Review,8.0,/articles/2014/03/18/metal-gear-solid-5-ground-zeroes-review,2014-03-18T07:00:16.000Z,Lucy O'Brien
Dark Souls 2 Review,9.0,/articles/2014/03/11/dark-souls-2-review,2014-03-11T03:58:17.000Z,Marty Sliva
Final Fantasy X / X-2 HD Remaster Review,9.3,/articles/2014/03/10/final-fantasy-x-x-2-hd-remaster-review,2014-03-10T07:01:49.000Z,Meghan Sullivan
"The Walking Dead: Season 2, Episode 2 Review",9.5,/articles/2014/03/04/the-walking-dead-season-2-episode-2-review,2014-03-04T18:58:28.000Z,Mitch Dyer
The Witch and the Hundred Knight Review,5.8,/articles/2014/03/04/the-witch-and-the-hundred-knight-review,2014-03-04T08:01:29.000Z,Vince Ingenito
South Park: The Stick of Truth Review,9.0,/articles/2014/03/04/south-park-the-stick-of-truth-review,2014-03-04T07:22:44.000Z,Ryan McCaffrey
Thief Xbox 360 and PlayStation 3 Review,6.5,/articles/2014/02/26/thief-xbox-360-and-playstation-3-review,2014-02-26T01:29:32.000Z,Dan Stapleton
Castlevania: Lords of Shadow 2 Review,6.5,/articles/2014/02/25/castlevania-lords-of-shadow-2-review,2014-02-25T08:01:36.000Z,Colin Moriarty
Rambo: The Video Game Review,3.0,/articles/2014/02/21/rambo-the-video-game-review,2014-02-21T15:00:23.000Z,Luke Reilly
Tales of Symphonia Chronicles Review,8.0,/articles/2014/02/20/tales-of-symphonia-chronicles-review,2014-02-20T08:01:17.000Z,Kallie Plagge
BandFuse: Rock Legends Review,8.2,/articles/2014/02/20/bandfuse-rock-legends-review,2014-02-20T01:29:50.000Z,Steve Butts
Strider Review,7.5,/articles/2014/02/18/strider-review,2014-02-18T08:08:25.000Z,Tristan Ogilvie
Earth Defense Force 2025 Review,6.5,/articles/2014/02/18/earth-defense-force-2025-review,2014-02-18T08:01:39.000Z,Brian Albert
The Last of Us: Left Behind Review,9.0,/articles/2014/02/14/the-last-of-us-left-behind-review,2014-02-14T06:00:32.000Z,Colin Moriarty
The LEGO Movie Videogame Review,6.5,/articles/2014/02/13/the-lego-movie-videogame-review,2014-02-13T00:21:12.000Z,Andrew Hayward
Lightning Returns: Final Fantasy XIII Review,7.0,/articles/2014/02/11/lightning-returns-final-fantasy-xiii-review,2014-02-11T00:00:44.000Z,Marty Sliva
Dustforce PlayStation 3 and PS Vita Review,7.7,/articles/2014/02/08/dustforce-review-2,2014-02-08T00:11:44.000Z,Andrew Hayward
Dragon Ball Z: Battle of Z Review,6.6,/articles/2014/02/05/dragon-ball-z-battle-of-z-review,2014-02-05T19:14:58.000Z,Jake Magee
The Wolf Among Us Episode 2: Smoke and Mirrors Review,8.5,/articles/2014/02/05/the-wolf-among-us-episode-2-smoke-and-mirrors-review,2014-02-05T01:14:06.000Z,Marty Sliva
Minecraft PlayStation 3 and PlayStation Vita Review,9.5,/articles/2014/01/24/minecraft-review-2,2014-01-24T23:36:13.000Z,Brian Albert
Assassin's Creed Liberation HD Review,5.2,/articles/2014/01/18/assassins-creed-liberation-hd-review,2014-01-18T00:27:09.000Z,Vince Ingenito
Aquapazza Review,7.0,/articles/2013/12/18/aquapazza-review,2013-12-18T00:35:30.000Z,Vince Ingenito
"The Walking Dead: Season 2, Episode 1 Review",8.0,/articles/2013/12/17/the-walking-dead-season-2-episode-1-review,2013-12-17T18:55:04.000Z,Mitch Dyer
Saint Seiya Review,5.5,/articles/2013/12/14/saint-seiya-review,2013-12-14T01:40:59.000Z,Darry Huskey
Doki-Doki Universe Review,7.0,/articles/2013/12/12/doki-doki-universe-review,2013-12-12T23:20:59.000Z,Colin Moriarty
Air Conflicts: Vietnam Review,3.5,/articles/2013/12/12/air-conflicts-vietnam-review,2013-12-12T01:16:11.000Z,Jared Petty
Young Justice: Legacy Review,4.8,/articles/2013/12/11/young-justice-legacy-review,2013-12-11T21:36:29.000Z,Chuck Osborn
Adventure Time: Explore the Dungeon Because I DON'T KNOW! Review,3.5,/articles/2013/12/06/adventure-time-explore-the-dungeon-because-i-dont-know-review,2013-12-06T12:48:36.000Z,Keza MacDonald
Gran Turismo 6 Review,8.0,/articles/2013/12/06/gran-turismo-6-review,2013-12-06T07:59:48.000Z,Luke Reilly
The Guided Fate Paradox Review,7.0,/articles/2013/12/05/the-guided-fate-paradox-review,2013-12-05T19:40:20.000Z,Kat Bailey
"The Raven: Legacy of a Master Thief, Chapter 3 - A Murder of Ravens Review",6.5,/articles/2013/12/05/the-raven-legacy-of-a-master-thief-chapter-3-a-murder-of-ravens-review,2013-12-05T18:47:40.000Z,Neilie Johnson
Tiny Brains Review,4.5,/articles/2013/12/04/tiny-brains-review,2013-12-04T05:36:46.000Z,Marty Sliva
Stick it to The Man Review,8.6,/articles/2013/11/13/stick-it-to-the-man-review,2013-11-13T00:29:36.000Z,Scott Butterworth
Ratchet & Clank: Nexus Review,8.2,/articles/2013/11/11/ratchet-clank-nexus-review,2013-11-11T23:16:05.000Z,Cam Shea
BioShock Infinite: Burial at Sea -- Episode 1 Review,7.0,/articles/2013/11/11/bioshock-infinite-burial-at-sea-episode-1-review,2013-11-11T12:59:00.000Z,Ryan McCaffrey
XCOM: Enemy Within Review,9.0,/articles/2013/11/11/xcom-enemy-within-review,2013-11-11T12:00:55.000Z,Dan Stapleton
XCOM: Enemy Within Review,9.0,/articles/2013/11/11/xcom-enemy-within-review,2013-11-11T12:00:55.000Z,Dan Stapleton
Call of Duty: Ghosts Review,8.8,/articles/2013/11/05/call-of-duty-ghosts-review,2013-11-05T08:00:32.000Z,Scott Lowe
SpongeBob SquarePants: Plankton's Robotic Revenge Review,3.5,/articles/2013/11/01/spongebob-squarepants-planktons-robotic-revenge-review,2013-11-01T17:57:52.000Z,Bob Fekete
Assassin's Creed 4: Black Flag Review,8.5,/articles/2013/10/29/assassins-creed-4-black-flag-review,2013-10-29T08:00:02.000Z,Marty Sliva
Battlefield 4 Xbox 360 and PlayStation 3 Review,8.0,/articles/2013/10/29/battlefield-4-xbox-360-and-playstation-3-review,2013-10-29T03:58:28.000Z,Mitch Dyer
WWE 2K14 Review,8.7,/articles/2013/10/28/wwe-2k14-review,2013-10-28T21:18:39.000Z,Vince Ingenito
Batman: Arkham Origins Blackgate Review,7.4,/articles/2013/10/25/batman-arkham-origins-blackgate-review,2013-10-25T07:32:54.000Z,Chuck Osborn
Batman: Arkham Origins Review,7.8,/articles/2013/10/25/batman-arkham-origins-review,2013-10-25T07:01:05.000Z,Dan Stapleton
How to Survive Review,5.4,/articles/2013/10/24/how-to-survive-review,2013-10-24T00:20:06.000Z,Richard Cobbett
Rocksmith 2014 Review,9.0,/articles/2013/10/22/rocksmith-2014-review,2013-10-22T16:00:29.000Z,Tristan Ogilvie
LEGO Marvel Super Heroes Review,9.0,/articles/2013/10/22/lego-marvel-super-heroes-review,2013-10-22T13:00:06.000Z,Steve Butts
Skylanders Swap Force Review,8.2,/articles/2013/10/13/skylanders-swap-force-review,2013-10-13T12:00:41.000Z,Steve Butts
Just Dance 2014 PS3 Review,7.7,/articles/2013/10/11/just-dance-2014-ps3-review,2013-10-11T12:06:18.000Z,Keza MacDonald
The Wolf Among Us Episode 1: Faith Review,9.0,/articles/2013/10/10/the-wolf-among-us-episode-1-faith-review,2013-10-10T19:00:49.000Z,Marty Sliva
Beyond: Two Souls Review,6.0,/articles/2013/10/08/beyond-two-souls-review,2013-10-08T15:00:37.000Z,Lucy O'Brien
The Raven Chapter 2: Ancestry of Lies Review,5.5,/articles/2013/10/04/the-raven-legacy-of-a-master-thief-chapter-2-ancestry-of-lies-review,2013-10-04T17:04:39.000Z,Neilie Johnson
F1 2013 Review,8.0,/articles/2013/10/04/f1-2013-review,2013-10-04T06:45:02.000Z,Luke Reilly
Dragon Fantasy: Book II Review,3.0,/articles/2013/10/02/dragon-fantasy-book-ii-review,2013-10-02T22:03:35.000Z,Mitch Dyer
Armored Core: Verdict Day Review,7.6,/articles/2013/10/01/armored-core-verdict-day-review,2013-10-01T17:53:43.000Z,Scott Butterworth
Rain Review,7.0,/articles/2013/10/01/rain-review,2013-10-01T13:00:13.000Z,Daniel Krupa
Disgaea D2 Review,9.1,/articles/2013/09/30/disgaea-d2-review,2013-09-30T18:36:22.000Z,Vince Ingenito
Carnivores: Dinosaur Hunter HD Review,4.0,/articles/2013/09/27/carnivores-dinosaur-hunter-hd-review,2013-09-27T00:29:49.000Z,Kallie Plagge
NBA 2K14 Review,9.3,/articles/2013/09/26/nba-2k14-review,2013-09-26T02:58:39.000Z,Ryan McCaffrey
FIFA Soccer 14 Review,9.0,/articles/2013/09/23/fifa-soccer-14-review,2013-09-23T14:00:08.000Z,Daniel Krupa
Narco Terror Review,6.5,/articles/2013/09/19/narco-terror-review,2013-09-19T17:45:20.000Z,Matthew Sielaff
Pro Evolution Soccer 2014 Review,8.4,/articles/2013/09/18/pro-evolution-soccer-2014-review,2013-09-18T11:00:48.000Z,Daniel Krupa
Grand Theft Auto V Review,10.0,/articles/2013/09/16/grand-theft-auto-v-review,2013-09-16T14:00:05.000Z,Keza MacDonald
Final Fantasy XIV: A Realm Reborn Review,8.6,/articles/2013/09/11/final-fantasy-xiv-a-realm-reborn-review,2013-09-11T23:05:50.000Z,Leif Johnson
Final Fantasy XIV: A Realm Reborn Review,8.6,/articles/2013/09/11/final-fantasy-xiv-a-realm-reborn-review,2013-09-11T23:05:50.000Z,Leif Johnson
Kingdom Hearts HD 1.5 Remix Review,8.5,/articles/2013/09/10/kingdom-hearts-hd-15-remix-review,2013-09-10T23:59:05.000Z,Chuck Osborn
Diablo III Xbox 360 and PlayStation 3 Review,9.0,/articles/2013/09/10/diablo-3-xbox-360-and-playstation-3-review,2013-09-10T00:37:10.000Z,Vince Ingenito
One Piece: Pirate Warriors 2 Review,6.5,/articles/2013/09/09/one-piece-pirate-warriors-2-review,2013-09-09T22:50:40.000Z,Kallie Plagge
NHL 14 Review,8.3,/articles/2013/09/06/nhl-14-review,2013-09-06T13:00:30.000Z,Jack DeVries
Puppeteer Review,8.5,/articles/2013/09/06/puppeteer-review,2013-09-06T07:00:25.000Z,Colin Moriarty
Divekick Review,7.0,/articles/2013/09/05/divekick-review,2013-09-05T23:24:30.000Z,Jared Petty
Killer is Dead Review,5.0,/articles/2013/08/27/killer-is-dead-review,2013-08-27T13:00:17.000Z,Marty Sliva
Lost Planet 3 Review,6.2,/articles/2013/08/27/lost-planet-3-review,2013-08-27T07:01:13.000Z,Dan Stapleton
Rayman Legends Review,9.5,/articles/2013/08/26/rayman-legends-review,2013-08-26T16:00:51.000Z,Jose Otero
Madden NFL 25 Review,8.5,/articles/2013/08/23/madden-nfl-25-review,2013-08-23T17:00:49.000Z,Jack DeVries
Flashback Review,5.8,/articles/2013/08/21/flashback-review,2013-08-21T16:00:57.000Z,Tristan Ogilvie
The Bureau: XCOM Declassified Review,5.5,/articles/2013/08/20/the-bureau-xcom-declassified-review,2013-08-20T04:00:50.000Z,Dan Stapleton
Splinter Cell: Blacklist Review,9.2,/articles/2013/08/14/splinter-cell-blacklist-review,2013-08-14T15:59:17.000Z,Ryan McCaffrey
Saints Row IV Review,7.3,/articles/2013/08/14/saints-row-iv-review,2013-08-14T13:00:35.000Z,Dan Stapleton
Dishonored: The Brigmore Witches DLC Review,7.5,/articles/2013/08/14/dishonored-the-brigmore-witches-dlc-review,2013-08-14T03:44:14.000Z,Cam Shea
PayDay 2 Review,8.0,/articles/2013/08/13/payday-2-review,2013-08-13T07:01:48.000Z,Vince Ingenito
DuckTales: Remastered Review,7.0,/articles/2013/08/12/ducktales-remastered-review,2013-08-12T22:12:00.000Z,Colin Moriarty
Ibb & Obb Review,8.3,/articles/2013/08/07/ibb-and-obb-review,2013-08-07T01:18:53.000Z,Kallie Plagge
Brothers: A Tale of Two Sons Review,8.2,/articles/2013/08/06/brothers-a-tale-of-two-sons-review,2013-08-06T06:59:47.000Z,Marty Sliva
Tales of Xillia Review,8.0,/articles/2013/08/06/tales-of-xillia-review,2013-08-06T00:06:24.000Z,Colin Moriarty
Dragon’s Crown Review,8.5,/articles/2013/07/31/dragons-crown-review,2013-07-31T19:00:35.000Z,Colin Moriarty
Dragon’s Crown Review,8.5,/articles/2013/07/31/dragons-crown-review,2013-07-31T19:00:35.000Z,Colin Moriarty
"The Raven: Legacy of a Master Thief, Chapter 1 Review",9.0,/articles/2013/07/30/the-raven-legacy-of-a-master-thief-chapter-1-review,2013-07-30T21:50:58.000Z,Neilie Johnson
