title,score,url,date,author
Skylanders Swap Force Review,8.2,/articles/2013/10/13/skylanders-swap-force-review,2013-10-13T12:00:41.000Z,Steve Butts
Just Dance 2014 Wii Review,7.7,/articles/2013/10/11/just-dance-2014-wii-review,2013-10-11T12:06:22.000Z,Keza MacDonald
Just Dance 4 Wii U Review ,5.3,/articles/2012/12/11/just-dance-4-wii-u-review,2012-12-11T00:30:40.000Z,Ryan Clements
Teenage Mutant Ninja Turtles - The Complete Classic Series Collection DVD Review,6.0,/articles/2012/11/15/teenage-mutant-ninja-turtles-the-complete-classic-series-collection-dvd-review,2012-11-15T00:41:03.000Z,Eric Goldman
Angry Birds Star Wars Review,8.8,/articles/2012/11/08/angry-birds-star-wars-review,2012-11-08T07:59:05.000Z,Justin Davis
Transformers: Prime - The Game Review,8.0,/articles/2012/11/07/transformers-prime-the-game-review,2012-11-07T17:34:32.000Z,Lucas M. Thomas
Skylanders Giants Review,8.0,/articles/2012/10/18/skylanders-giants-review,2012-10-18T16:00:42.000Z,Casey Lynch
FIFA Soccer 13 Vita Review,4.0,/articles/2012/10/12/fifa-soccer-13-vita-review,2012-10-12T16:12:36.000Z,Daniel Krupa
Project Zero 2: Wii Edition Review,8.5,/articles/2012/06/29/project-zero-2-wii-edition-review,2012-06-29T09:56:55.000Z,Maes Hughes
LEGO Batman 2: DC Super Heroes Wii Review,8.0,/articles/2012/06/19/lego-batman-2-dc-super-heroes-wii-review,2012-06-19T04:01:33.000Z,Greg Miller
LEGO Batman 2: DC Super Heroes Wii Review,8.0,/articles/2012/06/19/lego-batman-2-dc-super-heroes-wii-review,2012-06-19T04:01:33.000Z,Greg Miller
Pandora's Tower Review,7.0,/articles/2012/04/13/pandoras-tower-review,2012-04-13T09:30:00.000Z,Chris Schilling
Xenoblade Chronicles Review,9.0,/articles/2012/04/03/xenoblade-chronicles-review,2012-04-03T20:32:00.000Z,Keza MacDonald
PokePark 2: Wonders Beyond Review,6.5,/articles/2012/02/27/pokepark-2-wonders-beyond-review,2012-02-27T17:00:00.000Z,Audrey Drake
Rhythm Party Review,6.5,/articles/2012/02/15/rhythm-party-review,2012-02-15T18:15:00.000Z,Mitch Dyer
Rhythm Party Review,6.5,/articles/2012/02/15/rhythm-party-review,2012-02-15T18:15:00.000Z,Mitch Dyer
Rhythm Heaven Fever Review,7.0,/articles/2012/02/07/rhythm-heaven-fever-review,2012-02-07T01:48:00.000Z,Audrey Drake
Zombii Attack Review,2.0,/articles/2012/01/05/zombii-attack-review,2012-01-05T23:23:00.000Z,Lucas M. Thomas
Carmen Sandiego Adventures in Math: The Big Ben Burglary Review,7.0,/articles/2012/01/03/carmen-sandiego-adventures-in-math-the-big-ben-burglary-review,2012-01-03T07:58:00.000Z,Lucas M. Thomas
Soccer Up Review,6.0,/articles/2011/12/23/soccer-up-review,2011-12-23T07:55:00.000Z,Lucas M. Thomas
Carmen Sandiego Adventures in Math: The Lady Liberty Larceny Review,8.0,/articles/2011/12/16/carmen-sandiego-adventures-in-math-the-lady-liberty-larceny-review,2011-12-16T07:59:00.000Z,Lucas M. Thomas
Fishing Resort Review,7.0,/articles/2011/12/12/fishing-resort-review,2011-12-12T03:42:00.000Z,Jonathan Drake
The Kore Gang Review,7.0,/articles/2011/12/10/the-kore-gang-review,2011-12-10T01:00:00.000Z,Lucas M. Thomas
