title,score,url,date,author
The Legend of Zelda: Breath of the Wild Review,10.0,/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review,2017-03-02T10:58:56.000Z,Jose Otero
Shantae: Half-Genie Hero Review,8.0,/articles/2016/12/20/shantae-half-genie-hero-review,2016-12-20T19:28:12.000Z,Vince Ingenito
Paper Mario: Color Splash Review,7.3,/articles/2016/10/05/paper-mario-color-splash-review,2016-10-05T15:00:12.000Z,Terri Schwartz
Tokyo Mirage Sessions #FE Review,7.6,/articles/2016/06/29/tokyo-mirage-sessions-fe-review,2016-06-29T18:38:33.000Z,Meghan Sullivan
LEGO Star Wars: The Force Awakens Review,9.0,/articles/2016/06/29/lego-star-wars-the-force-awakens-review,2016-06-29T00:43:15.000Z,Marty Sliva
Severed Review,6.4,/articles/2016/04/26/severed-review,2016-04-26T15:00:28.000Z,Miranda Sanchez
Star Fox Guard Review,7.8,/articles/2016/04/20/star-fox-guard-review,2016-04-20T14:58:57.000Z,Jose Otero
Star Fox Zero Review,7.5,/articles/2016/04/20/star-fox-zero-review,2016-04-20T14:58:57.000Z,Jose Otero
Pokkén Tournament Review,8.0,/articles/2016/03/15/pokken-tournament-review,2016-03-15T13:00:15.000Z,Darry Huskey
The Legend of Zelda: Twilight Princess HD Review,8.6,/articles/2016/03/01/the-legend-of-zelda-twilight-princess-hd-review,2016-03-01T13:58:28.000Z,Jose Otero
The Legend of Zelda: Twilight Princess HD Review,8.6,/articles/2016/03/01/the-legend-of-zelda-twilight-princess-hd-review,2016-03-01T13:58:28.000Z,Jose Otero
LEGO Marvel's Avengers Review,6.7,/articles/2016/01/28/lego-marvels-avengers-review,2016-01-28T00:52:46.000Z,Alanah Pearce
Minecraft: Story Mode Episode 4 - A Block and a Hard Place Review,6.3,/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review,2016-01-14T23:57:29.000Z,Justin Davis
Fast Racing Neo Review,8.0,/articles/2016/01/04/fast-racing-neo-review,2016-01-04T23:47:50.000Z,Cassidee Moser
Xenoblade Chronicles X Review,8.2,/articles/2015/12/07/xenoblade-chronicles-x-review,2015-12-07T19:47:36.000Z,Jose Otero
Minecraft: Story Mode Episode 3 - The Last Place You Look Review,7.7,/articles/2015/11/25/minecraft-story-mode-episode-3-the-last-place-you-look-review,2015-11-25T18:47:22.000Z,Justin Davis
Splatoon v2 Review,8.6,/articles/2015/11/13/splatoon-review,2015-11-13T08:00:10.000Z,Jose Otero
Guitar Hero Live Review,7.9,/articles/2015/10/25/guitar-hero-live-review,2015-10-25T21:00:53.000Z,Tristan Ogilvie
Jotun Review,8.0,/articles/2015/09/30/jotun-review,2015-09-30T20:47:57.000Z,Brandin Tyrrel
LEGO Dimensions Review,7.7,/articles/2015/09/29/lego-dimensions-review,2015-09-29T21:03:41.000Z,Marty Sliva
Assault Android Cactus Review,8.8,/articles/2015/09/28/assault-android-cactus-review,2015-09-28T05:50:41.000Z,Cam Shea
Super Mario Maker Review,9.0,/articles/2015/09/02/super-mario-maker-review,2015-09-02T13:58:47.000Z,Jose Otero
Devil's Third Review,3.5,/articles/2015/08/28/devils-third-review,2015-08-28T21:39:43.000Z,Vince Ingenito
