title,score,url,date,author
Hood: Outlaws & Legends Review,6.0,/articles/hood-outlaws-legends-review,2021-05-12T22:36:26.000Z,Travis Northup
MotoGP 21 Review,7.0,/articles/motogp-21-review,2021-04-23T07:02:22.000Z,Luke Reilly
Can't Drive This Review,7.0,/articles/cant-drive-this-review,2021-03-30T06:55:00.000Z,Luke Reilly
It Takes Two Review,9.0,/articles/it-takes-two-review,2021-03-25T10:21:43.000Z,Tristan Ogilvie
Xbox Wireless Headset Review,8.0,/articles/xbox-wireless-headset-review,2021-03-15T14:00:12.000Z,Mike Epstein
Monster Energy Supercross – The Official Videogame 4 Review,6.0,/articles/monster-energy-supercross-the-official-videogame-4-review,2021-03-11T05:36:16.000Z,Luke Reilly
The Medium Review,8.0,/articles/the-medium-review,2021-01-27T14:00:33.000Z,Tristan Ogilvie
Hitman 3 Review,9.0,/articles/hitman-3-review,2021-01-19T13:00:44.000Z,Luke Reilly
Gears 5: Hivebusters DLC Review,8.0,/articles/gears-5-hivebusters-dlc-review,2020-12-14T18:45:08.000Z,Brian Barnett
Gears 5: Hivebusters DLC Review,8.0,/articles/gears-5-hivebusters-dlc-review,2020-12-14T18:45:08.000Z,Brian Barnett
Gears 5: Hivebusters DLC Review,8.0,/articles/gears-5-hivebusters-dlc-review,2020-12-14T18:45:08.000Z,Brian Barnett
FIFA 21 Review,7.0,/articles/fifa-21-review,2020-12-09T19:28:53.000Z,Simon Cardy
Call of the Sea Review,9.0,/articles/call-of-the-sea-review,2020-12-08T08:01:27.000Z,Simon Cardy
Immortals Fenyx Rising Review,7.0,/articles/immortals-fenyx-rising-review,2020-12-01T02:00:02.000Z,Cam Shea
Destiny 2: Beyond Light Review,7.0,/articles/destiny-2-beyond-light-review,2020-11-24T23:25:16.000Z,Travis Northup
Destiny 2: Beyond Light Review,7.0,/articles/destiny-2-beyond-light-review,2020-11-24T23:25:16.000Z,Travis Northup
Dirt 5 Review,8.0,/articles/dirt-5-review,2020-11-19T08:38:17.000Z,Luke Reilly
NBA 2K21 for Xbox Series X and PlayStation 5 Review,7.0,/articles/nba-2k21-for-xbox-series-x-and-playstation-5-review,2020-11-17T01:18:16.000Z,Ben Vollmer
