title,score,url,datetime,author,date
Foamstars Review,6.0,/articles/foamstars-review,2024-02-15T02:10:08.000Z,Charlie Wacholz,2024-02-15
Atomic Heart: Trapped in Limbo Review,3.0,/articles/atomic-heart-trapped-in-limbo-review,2024-02-13T07:12:20.529Z,Luke Reilly,2024-02-13
Granblue Fantasy: Relink Review,8.0,/articles/granblue-fantasy-relink-review,2024-01-31T15:00:00.000Z,George Yang,2024-01-31
Persona 3 Reload Review ,9.0,/articles/persona-3-reload-review,2024-01-30T13:00:00.000Z,Michael Higham,2024-01-30
Like a Dragon: Infinite Wealth Review,9.0,/articles/like-a-dragon-infinite-wealth-review,2024-01-23T15:00:00.000Z,Tristan Ogilvie,2024-01-23
Prince of Persia: The Lost Crown Review,8.0,/articles/prince-of-persia-the-lost-crown-review,2024-01-11T17:00:00.000Z,Phil Hornshaw,2024-01-11
Fortnite Rocket Racing Review,6.0,/articles/fortnite-rocket-racing-review,2023-12-21T02:01:14.471Z,Gabriel Moss,2023-12-21
Resident Evil 4 Remake VR Review,8.0,/articles/resident-evil-4-remake-vr-review,2023-12-15T23:43:41.387Z,Travis Northup,2023-12-15
Granblue Fantasy Versus: Rising Review,9.0,/articles/granblue-fantasy-versus-rising-review,2023-12-15T20:03:45.059Z,Mitchell Saltzman,2023-12-15
Fortnite Festival Review,4.0,/articles/fortnite-festival-review,2023-12-15T00:34:33.184Z,Luke Reilly,2023-12-15
Lego Fortnite Review,7.0,/articles/lego-fortnite-review,2023-12-13T00:33:35.100Z,Phil Hornshaw,2023-12-13
The Walking Dead: Destinies Review,2.0,/articles/the-walking-dead-destinies-review,2023-11-28T21:06:46.083Z,Tauriq Moosa,2023-11-28
SteamWorld Build Review,7.0,/articles/steamworld-build-review,2023-11-28T00:40:49.613Z,Jon Bolding,2023-11-28
Bluey: The Videogame Review,4.0,/articles/bluey-the-videogame-review,2023-11-22T08:14:17.295Z,Luke Reilly,2023-11-22
Flashback 2 Review,2.0,/articles/flashback-2-review,2023-11-21T06:42:01.433Z,Tristan Ogilvie,2023-11-21
Naruto x Boruto Ultimate Ninja Storm Connections Review,5.0,/articles/naruto-x-boruto-ultimate-ninja-storm-connections-review,2023-11-17T21:29:05.440Z,Charlie Wacholz,2023-11-17
The Last Faith Review,7.0,/articles/the-last-faith-review,2023-11-15T18:00:00.000Z,Jarrett Green,2023-11-15
Persona 5 Tactica Review,8.0,/articles/persona-5-tactica-review,2023-11-14T17:00:00.000Z,Leana Hafer,2023-11-14
